"Company Name","Company Status",State,"Date Created","Created By","Last Modified on"
" -Avina on 32nd",none,WI,"2024-12-13 11:30:26",lorrel.filliater,"2025-09-16 13:01:50 by lorrel.filliater"
" -Avina on Division",none,WI,"2024-12-13 11:33:24",lorrel.filliater,"2025-09-16 13:04:45 by lorrel.filliater"
" -Belvidere Health and Rehab",none,IL,"2024-12-13 11:27:20",lorrel.filliater,"2025-09-16 12:49:40 by lorrel.filliater"
" -Crossroads Care Center of Mayville",none,WI,"2024-12-13 11:29:12",lorrel.filliater,
" -Crossroads Care Center of Milwaukee",none,WI,"2024-12-13 11:28:05",lorrel.filliater,
" -Crossroads Care Center of Pewaukee",none,WI,"2024-12-13 11:32:31",lorrel.filliater,
" -Crossroads Care Center of Sun Prairie",none,WI,"2024-12-13 11:31:10",lorrel.filliater,
" -Crossroads Care Center of Weyauwega",none,WI,"2024-12-13 11:29:48",lorrel.filliater,
" -Inverness Health and Rehab",none,IL,"2024-12-13 11:33:44",lorrel.filliater,"2025-09-16 12:53:32 by lorrel.filliater"
" -Northbrook Health and Rehab",none,IL,"2024-12-13 11:34:04",lorrel.filliater,"2025-09-16 12:52:20 by lorrel.filliater"
" -The Manor at Kenosha",none,WI,"2024-12-13 11:32:53",lorrel.filliater,
" -Waukegan Health and Rehab",none,IL,"2024-12-13 11:26:55",lorrel.filliater,"2025-09-16 12:51:39 by lorrel.filliater"
"Abbey Delray",none,FL,"2024-06-26 15:04:21",lorrel.filliater,"2025-05-28 09:39:57 by lorrel.filliater"
"Accura Healthcare",none,IA,"2023-09-25 13:28:10",lorrel.filliater,
" -Aberdeen Health and Rehab",none,SD,"2023-09-25 13:38:13",lorrel.filliater,
" -Accura Healthcare of Ames",none,IA,"2023-09-25 13:36:15",lorrel.filliater,
" -Accura Healthcare of Aurelia",none,IA,"2023-09-25 13:43:25",lorrel.filliater,
" -Accura Healthcare of Bancroft",none,IA,"2023-09-25 13:33:40",lorrel.filliater,
" -Accura Healthcare of Carroll",none,IA,"2023-09-25 13:29:33",lorrel.filliater,
" -Accura Healthcare of Cascade",none,IA,"2023-09-25 13:29:56",lorrel.filliater,
" -Accura Healthcare of Cherokee",none,IA,"2023-09-25 13:32:40",lorrel.filliater,
" -Accura Healthcare of Cresco",none,IA,"2023-09-25 13:33:05",lorrel.filliater,
" -Accura Healthcare of Creston",none,IA,"2025-11-17 08:46:37",Emily.Foreman,
" -Accura Healthcare of Knoxville",none,IA,"2023-09-25 13:31:24",lorrel.filliater,
" -Accura Healthcare of Lake City",none,IA,"2023-09-26 11:50:22",lorrel.filliater,
" -Accura Healthcare of Le Mars",none,IA,"2023-09-25 13:30:16",lorrel.filliater,
" -Accura Healthcare of Manning",none,IA,"2023-09-25 13:46:36",lorrel.filliater,
" -Accura Healthcare of Marshalltown",none,IA,"2023-09-25 13:28:54",lorrel.filliater,
" -Accura Healthcare of Milford",none,IA,"2023-09-25 13:35:51",lorrel.filliater,
" -Accura Healthcare of Muscatine",none,IA,"2025-11-17 08:58:11",Emily.Foreman,
" -Accura Healthcare of New Hampton",none,IA,"2025-11-17 09:26:50",Emily.Foreman,
" -Accura Healthcare of Newton East",none,IA,"2023-09-25 13:37:30",lorrel.filliater,
" -Accura Healthcare of Newton West",none,IA,"2023-09-25 13:34:13",lorrel.filliater,
" -Accura Healthcare of Ogden",none,IA,"2023-09-25 13:32:17",lorrel.filliater,
" -Accura Healthcare of Onawa",none,IA,"2025-11-17 09:30:29",Emily.Foreman,
" -Accura Healthcare of Pleasantville",none,IA,"2023-09-25 13:34:57",lorrel.filliater,
" -Accura Healthcare of Pomeroy",none,IA,"2023-09-25 13:30:47",lorrel.filliater,
" -Accura Healthcare of Shenandoah",none,IA,"2023-09-25 13:31:52",lorrel.filliater,
" -Accura Healthcare of Sioux City",none,IA,"2023-09-25 13:36:44",lorrel.filliater,
" -Accura Healthcare of Spirit Lake",none,IA,"2023-09-25 13:35:27",lorrel.filliater,
" -Accura Healthcare of Stanton",none,IA,"2023-09-25 13:43:54",lorrel.filliater,
" -Accura Healthcare of Toledo",none,IA,"2025-11-17 09:35:38",Emily.Foreman,
" -Caring Acres Nursing and Rehab Center",none,IA,"2023-01-04 16:30:32",Emily.Foreman,"2025-11-17 09:37:35 by Emily.Foreman"
" -Faulkton Senior Living",none,SD,"2023-09-25 13:42:51",lorrel.filliater,
" -Karlstad Healthcare Center",none,MN,"2023-09-25 13:41:04",lorrel.filliater,
" -Lake Andes Health Care Center",none,SD,"2023-09-25 13:39:18",lorrel.filliater,
" -Prairie View Senior Living",none,MN,"2023-09-25 13:45:16",lorrel.filliater,
" -Rotary Senior Living",none,IA,"2025-11-17 09:39:49",Emily.Foreman,
" -Shell Rock Senior Living",none,IA,"2023-09-25 13:39:49",lorrel.filliater,
" -Sterling Park Senior Living",none,MN,"2023-09-25 13:40:30",lorrel.filliater,
" -Stonebridge Suites of Muscatine",none,IA,"2025-11-17 09:43:12",Emily.Foreman,
" -Traditions Memory Care of Newton",none,IA,"2025-11-17 09:43:25",Emily.Foreman,
" -Via at Carlisle",none,IA,"2024-12-12 12:53:59",lorrel.filliater,"2025-04-23 08:56:35 by traci.varon"
" -Via at Fleur Heights",none,IA,"2024-12-12 12:53:27",lorrel.filliater,"2025-04-30 09:35:30 by traci.varon"
" -Woodlyn Heights Senior Living",none,MN,"2023-09-25 13:45:45",lorrel.filliater,
"Accurate Healthcare Inc",none,TN,,,"2020-02-20 10:57:45 by Mandy.Lytle"
"Acme Health &amp; Rehab",none,MD,"2021-10-08 15:01:17",,"2025-05-07 09:24:25 by lorrel.filliater"
"ACV Health Services, LLC",none,FL,"2021-12-09 13:08:26",katie.harris,"2021-12-16 13:04:01 by Emily.Foreman"
"Adams Health Network",none,IN,"2024-05-06 14:12:14",Emily.Foreman,
"Advanced Healthcare Management",none,MS,,,"2020-02-20 11:02:34 by Mandy.Lytle"
" -Arrington Living Center",none,MS,,,"2021-10-08 14:06:37 by "
" -Carthage Health and Rehab Center",disable,MS,,,"2021-05-03 13:59:44 by Mandy.Lytle"
" -Desoto Healthcare Center",none,MS,,,"2020-02-20 11:03:35 by Mandy.Lytle"
" -Landmark Nursing and Rehab Center",none,MS,,,"2020-02-25 12:41:33 by mstypinski"
" -Meadville Covalescent Home",none,MS,,,"2021-11-03 14:33:40 by lorrel.filliater"
" -New Albany Health and Rehab",none,MS,,,"2020-02-20 11:04:07 by Mandy.Lytle"
" -Oxford Health and Rehab",none,MS,,,"2020-02-20 11:04:22 by Mandy.Lytle"
" -Pontotoc Health and Rehab",none,MS,,,"2020-02-20 11:04:39 by Mandy.Lytle"
" -Silver Cross Health and Rehab",none,MS,,,"2020-02-25 12:54:40 by mstypinski"
" -Terrace Manor Nursing and Rehab Center",none,MS,,,"2020-02-25 13:09:57 by mstypinski"
"Advanced Healthcare Solutions",disable,TX,,,"2023-05-01 10:38:13 by lorrel.filliater"
"Advantage Living Centers",disable,MI,,,"2022-01-05 08:15:45 by lorrel.filliater"
"AHF Management",none,OH,"2022-12-05 15:50:28",katie.harris,
" -McMurray Hills Manor",none,PA,"2022-12-05 15:50:53",katie.harris,
" -Samaritan Care Center and Villa",none,OH,"2022-12-05 15:52:22",katie.harris,
" -Sanctuary at Tuttle Crossing",none,OH,"2022-12-05 15:51:33",katie.harris,
" -Sanctuary at Wilmington Place",none,OH,"2022-12-05 15:51:52",katie.harris,
" -Sanctuary of the Ohio Valley",none,OH,"2022-12-05 15:51:14",katie.harris,"2023-10-26 11:01:13 by Emily.Foreman"
"Aidan Health Services",none,OR,"2025-05-02 13:11:27",Emily.Foreman,
"Aidan Post Acute and Rehab Center",disable,FL,"2022-07-11 13:52:48",katie.harris,"2023-09-14 09:19:46 by lorrel.filliater"
"AJ Gallagher",none,AL,,,"2024-01-03 16:43:25 by lorrel.filliater"
" -Ball Health Care",none,AL,,,"2020-02-20 12:30:07 by Mandy.Lytle"
" -Burns Nursing &amp; Rehab",none,AL,,,"2023-04-03 09:34:56 by lorrel.filliater"
" -Cleburne County",none,AL,,,"2023-04-03 09:37:34 by lorrel.filliater"
" -Crowne Healthcare",none,AL,,,"2020-02-20 12:30:32 by Mandy.Lytle"
" - -Atmore Nursing Center",none,AL,,,"2020-02-20 12:30:53 by Mandy.Lytle"
" - -Brown Nursing Home",none,AL,,,"2020-02-20 12:31:36 by Mandy.Lytle"
" - -Crowne Assisted Living Facilities",none,AL,,,"2020-02-20 12:32:04 by Mandy.Lytle"
" - -Crowne Eufaula",none,AL,,,"2020-02-20 12:32:42 by Mandy.Lytle"
" - -Crowne Health Care of Citronelle",none,AL,,,"2020-02-20 12:33:09 by Mandy.Lytle"
" - -Crowne Health Care of Fort Payne",none,AL,,,"2020-02-20 12:33:29 by Mandy.Lytle"
" - -Crowne Health Care of Mobile",none,AL,,,"2020-02-20 12:37:01 by Mandy.Lytle"
" - -Crowne Health Care of Springhill",none,AL,,,"2020-02-20 13:33:11 by Mandy.Lytle"
" - -Crowne Health of Montgomery",none,AL,,,"2020-02-20 14:23:40 by Mandy.Lytle"
" - -Crowne Healthcare of Greenville",none,AL,,,"2020-02-20 14:23:59 by Mandy.Lytle"
" - -Crowne Healthcare of North Baldwin",none,AL,,,"2022-10-06 13:08:33 by katie.harris"
" - -Englewood Health Care Center",none,AL,,,"2020-02-20 14:24:15 by Mandy.Lytle"
" - -Evergreen Nursing and Rehabilitation",none,AL,,,"2020-02-20 14:24:31 by Mandy.Lytle"
" - -Jackson Health Care",none,AL,,,"2020-02-20 14:24:55 by Mandy.Lytle"
" - -Madison Manor",none,AL,,,"2020-02-20 14:25:28 by Mandy.Lytle"
" - -Parkwood Health Care",none,AL,,,"2020-02-20 14:25:46 by Mandy.Lytle"
" - -Thomasville Health Care and Rehab",none,AL,,,"2021-05-28 13:44:30 by lorrel.filliater"
" - -West Gate Village",none,AL,,,"2020-02-20 14:28:16 by Mandy.Lytle"
" - -Woodhaven Manor",none,AL,,,"2020-02-25 16:48:47 by Mandy.Lytle"
" -El Reposo Nursing Facility",none,AL,"2020-03-24 09:30:26",Mandy.Lytle,"2023-01-10 15:40:28 by lorrel.filliater"
" -Generations Management",none,AL,,,"2020-03-31 11:27:50 by Mandy.Lytle"
" - -Generations of Red Bay",none,AL,,,"2022-02-10 10:00:44 by katie.harris"
" - -Generations of Vernon",none,AL,,,"2020-03-31 11:27:25 by Mandy.Lytle"
" -Health Care Inc.",none,AL,,,"2023-01-10 16:03:32 by lorrel.filliater"
" -Heritage Healthcare and Rehab",none,AL,,,"2023-04-03 09:36:27 by lorrel.filliater"
" -John Knox Manor",none,AL,"2025-02-27 11:07:51",lorrel.filliater,
" -Kirkwood By The River",none,AL,,,"2023-01-10 15:41:11 by lorrel.filliater"
" -Lauderdale Christian Nursing Home",none,AL,,,"2023-01-10 15:41:45 by lorrel.filliater"
" -Marengo Nursing Home",none,AL,,,"2023-04-03 09:37:09 by lorrel.filliater"
" -Perry County Nursing Home - AL",disable,AL,"2021-04-16 11:17:47",lorrel.filliater,"2022-05-19 10:23:25 by lorrel.filliater"
" -Plantation Manor Nursing Home",none,AL,,,"2020-02-14 14:15:35 by Mandy.Lytle"
" -Sasser Enterprises",none,AL,,,"2022-04-14 07:55:40 by lorrel.filliater"
" - -Andalusia Manor",none,AL,,,"2022-04-14 07:54:28 by lorrel.filliater"
" - -Camden Nursing Facility",none,AL,,,"2025-01-27 09:30:03 by lorrel.filliater"
" - -Southland Nursing Home",none,AL,,,"2023-01-10 15:38:07 by lorrel.filliater"
" -Southern Springs Health Care",none,AL,,,"2025-02-24 13:55:33 by lorrel.filliater"
" -Sunset Manor",none,AL,"2022-10-05 15:31:14",lorrel.filliater,"2024-11-04 16:50:11 by traci.varon"
" -The Wisdom Group",none,AL,,,"2024-04-03 15:32:32 by lorrel.filliater"
" - -Oakview Manor",none,AL,,,"2020-05-11 11:17:39 by Mandy.Lytle"
" - -Troy Health And Rehab",none,AL,,,"2024-01-24 13:46:44 by lorrel.filliater"
" -Traylor Porter Healthcare",none,AL,,,"2022-09-14 09:28:13 by lorrel.filliater"
" - -Arbor Lake Health and Rehab",none,AL,,,"2025-03-05 09:26:58 by lorrel.filliater"
" - -Arbor Springs Health and Rehab Center",none,AL,,,"2024-01-03 16:29:45 by lorrel.filliater"
" - -Arbor Woods Health and Rehab",none,AL,,,"2022-09-14 09:29:37 by lorrel.filliater"
" - -Self Skilled Nursing",none,AL,,,"2022-09-14 09:30:57 by lorrel.filliater"
" -Trinity Management",none,AL,,,"2022-04-14 08:02:27 by lorrel.filliater"
" - -Aliceville Manor Nursing Home",none,AL,,,"2022-08-30 09:26:35 by katie.harris"
" - -Altoona Health &amp; Rehab",none,AL,,,"2022-02-24 08:56:48 by katie.harris"
" - -Cloverdale Rehabilitation and Nursing Center",none,AL,,,"2022-02-24 08:57:04 by katie.harris"
" - -Meadowview Nursing Center",none,AL,,,"2022-03-01 10:39:26 by lorrel.filliater"
" - -TLC Nursing Center",none,AL,,,"2022-02-23 13:53:33 by katie.harris"
" -Venza Care",disable,AL,,,"2023-11-07 11:59:18 by lorrel.filliater"
" - -Adams Nursing Home",disable,AL,,,"2024-01-15 10:07:18 by lorrel.filliater"
" - -Cullman Healthcare Center",disable,AL,,,"2024-01-15 10:08:11 by lorrel.filliater"
" - -Decatur Health and Rehab Center",disable,AL,,,"2024-01-15 10:08:41 by lorrel.filliater"
" - -Falkville Healthcare",disable,AL,,,"2024-01-15 10:09:11 by lorrel.filliater"
" - -Folsom Center for Rehabilitation and Healthcare",disable,AL,,,"2024-01-15 10:09:51 by lorrel.filliater"
" - -Haleyville Healthcare Center",disable,AL,,,"2024-06-11 11:00:12 by Emily.Foreman"
" - -Woodland Village Health Care Center",disable,AL,,,"2024-01-15 10:10:32 by lorrel.filliater"
"Alamo Nursing Home, Inc.",disable,MI,,,"2024-07-18 08:37:55 by traci.varon"
"Aldergate Village AL",none,KS,"2022-05-09 15:30:41",lorrel.filliater,"2023-08-25 11:58:42 by traci.varon"
"Aliya Healthcare",none,IL,"2025-05-08 14:41:34",lorrel.filliater,"2025-05-08 14:48:19 by lorrel.filliater"
" -Aliya at the Ridge",none,IL,"2025-05-08 16:03:20",lorrel.filliater,
" -Aliya of Crestwood / The Heights",none,IL,"2025-05-08 16:05:05",lorrel.filliater,
" -Aliya of Evanston",none,IL,"2025-05-08 16:02:24",lorrel.filliater,
" -Aliya of Glenwood",none,IL,"2025-05-08 16:03:47",lorrel.filliater,
" -Aliya of Highwood",none,IL,"2025-05-08 16:02:52",lorrel.filliater,
" -Aliya of Homewood",none,IL,"2025-05-08 15:59:38",lorrel.filliater,
" -Aliya of Oak Lawn",none,IL,"2025-05-08 15:59:58",lorrel.filliater,
" -Aliya of Palatine",none,IL,"2025-05-08 16:04:21",lorrel.filliater,
" -Aliya of Palos Park",none,IL,"2025-05-08 16:00:23",lorrel.filliater,
" -Aliya of Wrightwood/87th",none,IL,"2025-05-08 16:01:00",lorrel.filliater,
" -Aspyre by the Lake",none,IL,"2025-05-08 16:06:48",lorrel.filliater,
" -Aspyre North",none,IL,"2025-05-08 16:06:02",lorrel.filliater,
" -Aspyre West",none,IL,"2025-05-08 16:06:22",lorrel.filliater,
" -Ryze at Homewood",none,IL,"2025-05-08 16:05:36",lorrel.filliater,
" -Ryze on the Avenue",none,IL,"2025-05-08 16:01:31",lorrel.filliater,
" -Ryze West",none,IL,"2025-05-08 16:01:55",lorrel.filliater,
"Allegan Care Operating Co, LLC",disable,MI,"2023-02-21 09:38:05",katie.harris,"2024-07-17 16:03:23 by lorrel.filliater"
"Allegan County Medical Care Community",none,MI,,,"2020-03-25 08:56:58 by Mandy.Lytle"
"Alliance Health Group",none,NC,"2024-02-13 16:24:47",lorrel.filliater,
"Allure Healthcare Services",none,IL,"2022-02-21 13:41:45",katie.harris,
" -Allure of Knox County",none,IL,"2023-02-06 13:58:02",lorrel.filliater,
" -Allure of Mendota",none,IL,"2023-06-27 11:13:53",lorrel.filliater,
" -Allure of Peru",none,IL,"2023-06-27 15:27:18",lorrel.filliater,
" -Allure of Pinecrest",none,IL,"2022-11-30 14:56:07",katie.harris,
" -Allure of Quad Cities",none,IL,"2023-02-06 13:58:35",lorrel.filliater,
" -Allure of Walnut",none,IL,"2023-06-28 10:47:48",lorrel.filliater,
" -Bellwood",none,IL,"2025-08-12 10:20:40",lorrel.filliater,
" -Galesburg",none,IL,"2022-02-21 13:43:11",katie.harris,
" -Geneseo",none,IL,"2022-02-21 13:42:01",katie.harris,
" -Lake Storey",none,IL,"2022-02-21 13:42:38",katie.harris,
" -Moline",none,IL,"2022-02-21 13:43:00",katie.harris,
" -Mount Carroll",none,IL,"2022-02-21 13:42:49",katie.harris,
" -Prophetstown",none,IL,"2022-02-21 13:42:23",katie.harris,
" -Quad Cities",none,,"2023-02-06 14:14:11",lorrel.filliater,
" -Sterling",none,IL,"2022-02-25 13:28:29",lorrel.filliater,
" -Stockton",none,IL,"2022-02-21 13:43:21",katie.harris,
" -Zion",none,IL,"2022-11-03 09:38:18",lorrel.filliater,"2025-05-29 15:26:55 by lorrel.filliater"
"Aloha Nursing Rehab Centre",none,HI,"2020-05-15 08:22:27",Mandy.Lytle,"2021-10-20 16:48:25 by Emily.Foreman"
"Alpha Health Care Management",none,ME,"2024-01-29 09:41:59",lorrel.filliater,
" -Blue Hills Health and Rehab",none,ME,"2024-01-29 10:58:42",lorrel.filliater,"2024-11-11 10:18:56 by Emily.Foreman"
" -Brigham Health and Rehab",none,ME,"2024-01-29 09:42:35",lorrel.filliater,"2024-11-11 10:18:13 by Emily.Foreman"
" -Carvalho Grove Health and Rehab",none,ME,"2024-01-29 10:57:15",lorrel.filliater,"2024-11-11 10:19:14 by Emily.Foreman"
" -Cedarwood Gardens",none,ME,"2024-01-29 10:58:11",lorrel.filliater,"2024-11-11 10:18:39 by Emily.Foreman"
" -Country Gardens Health and Rehab",none,ME,"2024-01-29 10:57:49",lorrel.filliater,"2024-11-11 10:19:32 by Emily.Foreman"
"Alpha Nursing Test Company",none,OH,"2021-11-29 09:32:29",lorrel.filliater,"2021-11-29 09:45:22 by Emily.Foreman"
"Alpine Fireside",none,IL,"2021-10-05 15:15:30",Mandy.Lytle,
"AltaMonte Care of Texas LLC",disable,TX,"2020-08-07 10:32:16",Mandy.Lytle,"2023-06-21 15:30:04 by lorrel.filliater"
" -Arden Place Houston",none,TX,"2020-08-07 10:33:58",Mandy.Lytle,"2020-12-03 14:08:22 by lorrel.filliater"
" -Arden Place of Beaumont",none,TX,"2020-08-07 10:32:53",Mandy.Lytle,"2020-08-07 10:40:46 by Mandy.Lytle"
" -Arden Place of Beeville",none,TX,"2020-08-07 10:42:35",Mandy.Lytle,
" -Arden Place of Grapevine",none,TX,"2020-08-07 10:42:50",Mandy.Lytle,
" -Arden Place of Richland Hills",none,TX,"2020-08-07 10:43:08",Mandy.Lytle,
" -Arden Wood",none,TX,"2020-08-07 10:34:23",Mandy.Lytle,"2020-08-07 10:41:57 by Mandy.Lytle"
"Amazing Grace Senior Living",disable,IL,"2020-12-24 08:20:31",Mandy.Lytle,"2022-08-16 10:12:34 by Emily.Foreman"
"American Baptist Homes of the Midwest",none,MN,"2024-10-23 10:22:15",lorrel.filliater,
" -Elm Crest Senior Living",none,IA,"2024-10-23 10:23:11",lorrel.filliater,
" -Maple Crest Health Center",none,NE,"2024-10-23 10:24:08",lorrel.filliater,
" -Mountain Vista Senior Living",none,CO,"2024-10-23 10:24:48",lorrel.filliater,
" -The Health Center at Franklin Park",none,CO,"2024-10-23 10:23:40",lorrel.filliater,
" -Thorne Crest Senior Living",none,MN,"2024-10-23 10:25:36",lorrel.filliater,
" -Trail Ridge Senior Living",none,SD,"2024-10-23 10:26:08",lorrel.filliater,
" -Tudor Oaks Senior Living",none,WI,"2024-10-23 10:26:38",lorrel.filliater,
"American Healthcare, LLC",none,VA,,,"2022-09-21 13:41:25 by polly.smith"
"Americare Senior Living",none,MO,"2022-08-02 12:54:40",katie.harris,
"Aneta Parkview Health Center",none,ND,"2025-10-01 15:37:25",Emily.Foreman,
"ANEW Healthcare",disable,MO,"2021-11-17 13:17:48",Emily.Foreman,"2024-10-31 10:35:21 by traci.varon"
" -ANEW Healthcare - Anthony Community Care Center",disable,KS,"2022-03-22 09:42:57",Emily.Foreman,"2022-12-20 08:23:21 by Emily.Foreman"
" -ANEW Healthcare &amp; Rehab Easton",disable,KS,"2020-12-09 11:17:34",Mandy.Lytle,"2024-10-31 10:36:07 by traci.varon"
" -ANEW Healthcare &amp; Rehab Nortonville",disable,KS,"2021-11-17 13:19:08",Emily.Foreman,"2024-10-31 10:36:33 by traci.varon"
" -ANEW Healthcare &amp; Rehab Savannah",disable,MO,"2021-11-17 13:20:04",Emily.Foreman,"2024-10-31 10:37:07 by traci.varon"
" -ANEW Healthcare Odessa",disable,MO,"2023-01-30 10:23:18",Emily.Foreman,"2024-10-31 10:37:21 by traci.varon"
"Anthony Blvd",disable,IN,,,"2025-01-27 11:16:05 by lorrel.filliater"
"Apex Rehabilitation and Healthcare",none,NY,"2021-10-19 13:20:18",Emily.Foreman,"2024-02-06 14:42:19 by traci.varon"
"Appling Nursing and Rehab Pavilion",none,GA,,,"2024-04-17 14:28:45 by traci.varon"
"Arabella Healthcare Management",none,AL,"2023-05-30 16:39:26",lorrel.filliater,
" -Arabella Health and Wellness of Meridian",none,MS,"2025-09-04 11:21:52",lorrel.filliater,
" -Arabella Health of Birmingham",none,AL,"2023-05-31 11:26:42",lorrel.filliater,
" -Arabella Health of Butler",none,AL,"2023-05-31 11:27:19",lorrel.filliater,
" -Arabella Health of Fairhope",none,AL,"2023-05-31 11:27:41",lorrel.filliater,
" -Arabella Health of Grand Bay",none,FL,"2024-12-09 13:50:35",lorrel.filliater,"2024-12-11 08:55:47 by lorrel.filliater"
" -Arabella Health of Mobile",none,AL,"2023-05-31 11:28:01",lorrel.filliater,
" -Arabella Health of Montgomery",none,AL,"2023-05-31 11:28:30",lorrel.filliater,"2025-02-13 08:24:26 by traci.varon"
" -Arabella Health of Pensacola",none,FL,"2024-12-09 13:50:59",lorrel.filliater,"2024-12-11 08:56:36 by lorrel.filliater"
" -Arabella Health of Selma",none,AL,"2023-05-31 11:28:52",lorrel.filliater,
" -Oak Crest Health and Wellness",none,AL,"2022-06-09 08:30:30",katie.harris,"2023-05-30 16:44:16 by lorrel.filliater"
" -Phenix City Health Care",none,AL,,,"2023-05-30 16:40:03 by lorrel.filliater"
" -Ridgeway Rehabilitation",none,AL,"2022-06-09 08:30:59",katie.harris,"2023-05-30 16:45:26 by lorrel.filliater"
" -Russellville Health Care, Inc",none,AL,,,"2023-05-30 16:40:51 by lorrel.filliater"
"Arbor Manor Rehabilitation Center",none,MI,,,"2024-05-22 16:16:24 by traci.varon"
"Arbor Spring Health and Rehab",disable,FL,"2021-03-16 15:22:53",Mandy.Lytle,"2023-11-29 15:42:38 by lorrel.filliater"
"Arbor Village",disable,OK,"2020-10-20 14:25:13",lorrel.filliater,"2023-10-31 14:59:04 by lorrel.filliater"
"Archie Hendricks Nursing Facility- Tohono",none,AZ,,,"2022-09-21 13:43:12 by polly.smith"
"Ardent Health and Rehab",disable,CO,"2021-09-21 15:40:57",lorrel.filliater,"2024-11-11 16:03:21 by lorrel.filliater"
"Argentine Care Center",none,MI,,,"2020-04-08 09:37:45 by Mandy.Lytle"
"Arkanas State Veteran's Home",disable,AR,,,"2022-06-30 10:42:15 by Emily.Foreman"
"Arlington Health and Rehabilitation",disable,WA,,,"2023-01-02 13:33:49 by lorrel.filliater"
"Artesia Christian Home",none,CA,,,"2022-09-21 13:45:16 by polly.smith"
"Asbury Management",none,IL,"2022-07-18 10:06:48",katie.harris,
" -Asbury Court",none,IL,"2022-07-18 10:07:04",katie.harris,
" -Asbury Gardens",none,IL,"2022-07-18 10:07:28",katie.harris,
"Asbury Towers Retirement Home",none,IN,,,"2024-10-25 10:23:09 by traci.varon"
Ascension,none,MO,"2024-01-05 12:59:21",lorrel.filliater,"2024-10-09 10:03:42 by lorrel.filliater"
" -Alexian Village",none,TN,"2025-02-18 13:33:47",lorrel.filliater,
" -Bethlehem Woods Village",none,IL,"2025-02-18 13:34:09",lorrel.filliater,
" -Carroll Manor",none,WA,"2025-02-18 13:34:46",lorrel.filliater,
" -Casa Scalabrini Village",none,IL,"2025-02-18 13:35:19",lorrel.filliater,
" -Franciscan Place",none,WI,"2025-02-18 13:35:40",lorrel.filliater,
" -Heritage Village",none,IL,"2025-02-18 13:36:04",lorrel.filliater,
" -Lakeshore at Siena",none,WI,"2025-02-18 13:36:23",lorrel.filliater,
" -Nazarethville Place",none,IL,"2025-02-18 15:31:36",lorrel.filliater,
" -Our Lady of Peace NY",none,NY,"2025-06-16 16:25:12",lorrel.filliater,
