"Document ID","Document Title",Categories,"Number of Views"
39323,"Hand Hygiene Validation Checklist","Competencies and Skills, Forms and Checklists, Infection Control, Nursing, Staff Development, Tools and Templates",56
37629,"Discharge Planning Process Policy","MDS, Minimum Data Set (MDS), Policies and Procedures, Policies and Procedures, Tools and Templates",54
22636,"CMS-855A Medicare Enrollment Application &#8211; Institutional Providers Form &amp; Guidance (Updated 12/20/24)","CMS, Forms, Medicare, Regulatory Agencies",54
36701,"Medical Director Responsibilities Policy","Administration, Policies and Procedures, Tools and Templates",54
466448,"Therapeutic Leave Policy","Administration, Policies and Procedures, Tools and Templates",53
41573,"QAPI Feedback Policy","Administration, Administrative, Policies and Procedures, Policies and Procedures, QAPI, Tools and Templates",53
39332,"Infection Control Validation Checklists","Competencies and Skills, Forms and Checklists, Infection Control, Nursing, Staff Development, Tools and Templates",53
35275,"Nursing Environmental Checklist","Environmental Services, Forms and Checklists, Maintenance, Physical Plant, Tools, Tools and Templates",53
524104,"Admin Info Letter 25-07 (24-21 &amp;25-01 REVISED): Training Plan for iQIES Launch in Long-Term Care","2024 Fiscal Year, 2025 Fiscal Year, Quality, Safety, and Oversight (QSO) Letters, Survey and Certification",52
35656,"Fall Interventions List","Falls Prevention, Forms and Checklists, Nursing, Tools and Templates",51
36118,"Notice of Discharge to Ombudsman Poster","Forms and Checklists, Social Services, Tools and Templates",51
486775,"High Risk Medications Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",51
458786,"Facility 24 Hour Report Form","Nursing, Supplemental Tools, Tools and Templates",50
38341,"Adverse Drug Event Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",50
39957,"Falls Prevention Training Presentation Pre-Post Test (Questions with Answer Key)","Competencies and Skills, Falls Prevention, Falls Prevention and Management, Nursing, Staff Development, Tools and Templates, Training",49
39954,"Falls Prevention Training Presentation","Falls Prevention, Falls Prevention and Management, Nursing, Staff Development, Tools and Templates, Training",49
505080,"Catheter Care Validation Checklist","Competencies and Skills, Nursing, Staff Development, Supplemental Tools, Tools and Templates",49
36140,"Social Services Related F-Tag Guide","Forms and Checklists, Social Services, Tools and Templates",49
38578,"Nursing Services &#8211; Registered Nurse (RN) Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",49
40608,"High Risk Medications &#8211; Anticoagulants Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",49
33307,"Five-Star Quality Rating System: Technical Users&#8217; Guide (January 2025)","Five Star Quality Rating System, MDS 3.0, Methodology, Quality Measures, Survey and Certification",48
38614,"Provision of Physician Ordered Services Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",48
35678,"Neuro Check Assessment Form","Falls Prevention, Forms and Checklists, Nursing, Supplemental Tools, Tools and Templates",47
34727,"Pennsylvania &#8211; Long Term Care Facility Regulations (Chapters 201, 204, 205, 207, 209, 211)","Long Term Care State Regulations, Pennsylvania, State Regulations",47
35266,"Environmental Services Terminal Cleaning Monitoring Checklist","Environmental Services, Forms and Checklists, Maintenance, Physical Plant, Tools, Tools and Templates",47
40893,"Binder Basics: Falls Prevention","Binder Basics, Falls Prevention, Nursing, Tools and Templates",46
36064,"Mock Survey Team Worksheet","Survey Management, Survey Management Tools, Tools and Templates",46
37657,"Admission of a Resident Policy","Nursing, Nursing Processes, Policies and Procedures, Policies and Procedures, Social Services, Social Services, Tools and Templates",45
509322,"Certificate of Training Completion Template","*Inservice Sign In Sheet, Forms and Checklists, Human Resources, Program Development, Staff Development, Supplemental Tools, Tools and Templates",45
40786,"Influenza Exposure Control Policy","Administrative, Emergency Preparedness, Emergency Preparedness, Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Policies and Procedures, Tools and Templates",45
36927,"Emergency Preparedness Plan Policy","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",44
527001,"Policies and Procedures Review Tracking Tool","*Table of Contents for P&amp;Ps, Policies and Procedures, Tools and Templates",43
35269,"Facility Cycle Cleaning Checklist","Environmental Services, Forms and Checklists, Maintenance, Physical Plant, Tools, Tools and Templates",43
41596,"Binder Basics: QAPI Guidance","Administrative, Binder Basics, QAPI, Tools and Templates",42
501906,"Call Light Audit Forms Packet","Maintenance, Nursing, Physical Plant, Supplemental Tools, Tools, Tools and Templates",42
35272,"Housekeeper Quality Assurance Data","Environmental Services, Forms and Checklists, Maintenance, Physical Plant, Tools, Tools and Templates",42
34166,"Activities Policy","Activities, Activities, Policies and Procedures, Policies and Procedures, Tools and Templates",41
39428,"Inservice Sign In Sheet","*Inservice Sign In Sheet, Staff Development, Tools and Templates",41
39616,"Licensed Nurse Competency Checklist","Competencies and Skills, Staff Development, Tools and Templates",41
529882,"F-605: Inappropriate Use of PRN Psychotropic Medication (Plan of Correction Packet)","Plan of Correction Packets, Survey Management, Tools and Templates",41
36060,"Mock Survey Packet Suggested Inserts","Survey Management, Survey Management Tools, Tools and Templates",41
38096,"Comprehensive Nursing Assessment","Nursing, Supplemental Tools, Tools and Templates",40
35537,"Kitchen Observation Validation Checklist","Competencies and Skills, Food and Nutrition Forms, Food and Nutrition Service, Staff Development, Tools and Templates",40
451337,"Falls Prevention Training Presentation Handouts","Falls Prevention, Falls Prevention and Management, Nursing, Staff Development, Tools and Templates, Training",39
457441,"Daily Staffing Log","Nursing, Supplemental Tools, Tools and Templates",39
35669,"Falls Prevention Performance Improvement Project (PIP) Worksheet &#8211; Template","Administrative, Falls Prevention, Forms and Checklists, Nursing, Performance Improvement Projects, QAPI, Tools and Templates",39
36039,"Entrance Conference Assignments Tool","Survey Management, Survey Management Tools, Tools and Templates",39
39622,"Nurse Aide Competency Checklist","Competencies and Skills, Staff Development, Tools and Templates",39
36072,"Sample Mock Survey Assignments","Survey Management, Survey Management Tools, Tools and Templates",39
505268,"Senate Bill: Protecting Rural Seniors&#8217; Access to Care Act","Congress, Regulatory Agencies",38
457786,"Urinary Tract Infection: A Care Solution","Care Solutions, Nursing, Tools and Templates",37
39334,"Infection Log","Forms and Checklists, Infection Control, Nursing, Tools and Templates",37
465722,"Entrance Conference Worksheet","2. Facility Entrance, Long Term Care Survey Process, Survey and Certification",37
35665,"Fall Risks List","Falls Prevention, Forms and Checklists, Nursing, Tools and Templates",37
36089,"Behavior Management Program Flowchart","Forms and Checklists, Social Services, Tools and Templates",37
41582,"QAPI Related F-Tag Guide","Administrative, QAPI, Tools, Tools and Templates",36
36106,"Grievance Form","Forms and Checklists, Social Services, Tools and Templates",36
36094,"Care Plan Meeting Notification Tracker Tool","Forms and Checklists, Social Services, Tools and Templates",36
35675,"Incident Review Quality Assurance Form","Administrative, Falls Prevention, Forms and Checklists, Nursing, QAPI, Tools, Tools and Templates",35
39297,"Antibiotic Outcome Measure Tracking Log","Antibiotic Stewardship, Infection Control, Nursing, Tools and Templates",35
40596,"Food Safety Requirements Policy","Food and Nutrition, Food and Nutrition Service, Policies and Procedures, Policies and Procedures, Tools and Templates",35
33442,"Resident Snapshot &#8211; Activities Department","Activities, Activity Forms and Assessments, Tools and Templates",35
506759,"March 2025 Activity Calendar","Activities, Activity Calendars, Tools and Templates",35
33514,"Binder Basics: Activity Professionals","Activities, Binder Basics, Tools and Templates",35
510007,"CPR/Code Blue Documentation","Nursing, Supplemental Tools, Tools and Templates",35
40437,"QAA Committee Meeting Agenda &#8211; Template","Administrative, QAPI, Tools, Tools and Templates",35
37308,"Sanitation Inspection Policy","Food and Nutrition, Food and Nutrition Service, Policies and Procedures, Policies and Procedures, Tools and Templates",35
34793,"Discharge Planning Form &#8211; Fillable","Administrative, Admissions, Forms and Checklists, Social Services, Tools and Templates",34
36770,"Waiver of Licensed/Registered Nursing Personnel Policy","Administration, Policies and Procedures, Tools and Templates",34
35263,"Environmental Services Cleaning Cart Supply Checklist","Environmental Services, Forms and Checklists, Maintenance, Physical Plant, Tools, Tools and Templates",34
29736,"Binder Basics: Emergency Preparedness","Administrative, Binder Basics, Binder Basics, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Safety, Tools and Templates",34
530172,"Budget Meeting Policy","Administrative, Business Office, Business Office, Policies and Procedures, Policies and Procedures, Tools and Templates",34
38115,"Walking Shift Reporting (CNA)","Nursing, Supplemental Tools, Tools and Templates",33
34080,"Activities Department Competency Checklist","Activities, Competencies and Skills, Competency Job Description, Staff Development, Tools and Templates",33
529889,"F-628: Noncompliance with Notice Requirements for Hospital Transfer (Plan of Correction Packet)","Plan of Correction Packets, Survey Management, Tools and Templates",33
40176,"Monthly Education Calendar","Program Development, Staff Development, Tools and Templates, Training Plans",32
36066,"Personnel File Review","Survey Management, Survey Management Tools, Tools and Templates",32
38105,"Perineal Care Validation Checklist","Competencies and Skills, Nursing, Staff Development, Supplemental Tools, Tools and Templates",32
40581,"Wound Care Validation Checklist","Competencies and Skills, Non-Pressure Injuries, Nursing, Pressure Injuries, Staff Development, Tools and Templates, Training, Wound Management",32
502776,"New Hire Checklist","Forms and Checklists, Human Resources, Tools and Templates",32
463329,"Restraints and Alarms Training Presentation","Restraints and Alarms, Staff Development, Tools and Templates",32
36432,"Staff Orientation Form","Forms and Checklists, Human Resources, Tools and Templates",32
34817,"Survey Process Critical Element Pathways (Combined)","1. LTC Survey Process Procedures, Long Term Care Survey Process, Survey and Certification",32
35658,"Fall Investigative Summary","Falls Prevention, Forms and Checklists, Nursing, Tools and Templates",31
34184,"Resident Council Meetings Policy","Activities, Activities, Policies and Procedures, Policies and Procedures, Tools and Templates",31
39342,"Infection Prevention and Control Risk Assessment","Forms and Checklists, Infection Control, Nursing, Tools and Templates",31
514420,"Infection Preventionist Task Review Checklist","Forms and Checklists, Infection Control, Nursing, Tools and Templates",31
36087,"Behavior Documentation Tool","Forms and Checklists, Social Services, Tools and Templates",31
517837,"Floor Technician Daily Schedule (Template)","Environmental Services, Forms and Checklists, Tools and Templates",31
451405,"The Compliance Store General Overview Webinar Recording","*The Compliance Store Website Training, Staff Development, Tools and Templates",31
39329,"Infection Control Performance Improvement Project (PIP) Worksheet &#8211; Template","Administrative, Forms and Checklists, Infection Control, Nursing, Performance Improvement Projects, QAPI, Tools and Templates",31
466120,"Insulin Reference Chart","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",31
36062,"Mock Survey Staff Interview Questions","Survey Management, Survey Management Tools, Tools and Templates",31
470384,"Traumatic Brain Injury: A Care Solution","Care Solutions, Nursing, Tools and Templates",31
37216,"Handling Soiled Linen Policy","Environmental Services, Environmental Services, Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Policies and Procedures, Tools and Templates",30
39307,"Antibiotic Surveillance Log","Antibiotic Stewardship, Infection Control, Nursing, Tools and Templates",30
39337,"Infection Outbreak Line Listing Template","Forms and Checklists, Infection Control, Nursing, Tools and Templates",30
40212,"QAPI Essentials Training Presentation Pre-Post Test (Questions with Answer Key)","Administrative, Competencies and Skills, QAPI, QAPI, Staff Development, Tools and Templates, Training",30
40207,"QAPI Essentials Training Presentation","Administrative, QAPI, QAPI, Staff Development, Tools and Templates, Training",30
514860,"2567 Statement of Deficiency and Corrective Action Tracker","Survey Management, Survey Management Tools, Tools and Templates",30
506584,"Employee Absence Tracking Form","Forms and Checklists, Human Resources, Tools and Templates",30
532212,"Five Star Ratings (February 2025)","Five Star Quality Rating System, Star Ratings, Survey and Certification",30
39295,"Antibiotic Stewardship Toolkit","Antibiotic Stewardship, Infection Control, Nursing, Tools and Templates",29
38552,"Intravenous Therapy Policy","Clinical, Nursing, Policies and Procedures, Tools and Templates",29
37247,"Date Marking for Food Safety Policy","Food and Nutrition, Food and Nutrition Service, Policies and Procedures, Policies and Procedures, Tools and Templates",29
525144,"General Immunization/Vaccination Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",29
35683,"Post Fall Assessment Form","Falls Prevention, Forms and Checklists, Nursing, Tools and Templates",29
34102,"Activities Department Dashboard","Activities, Quality Reports, Tools and Templates",29
35252,"Environmental Services Competency Checklist","Competencies and Skills, Competency Job Description, Environmental Services, Staff Development, Tools and Templates",29
39203,"Infection Prevention and Control Risk Assessment Procedure Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",29
36933,"Emergency Preparedness Risk Assessment Procedure Policy","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",29
40901,"Binder Basics: Food and Nutrition Services","Binder Basics, Food and Nutrition Service, Tools and Templates",29
38124,"Fall Prevention Program Policy","Falls Prevention, Nursing, Nursing, Nursing Processes, Policies and Procedures, Policies and Procedures, Tools and Templates",28
39299,"Antibiotic Stewardship Action Plan","Antibiotic Stewardship, Infection Control, Nursing, Tools and Templates",28
527032,"HIPAA Security Rule to Strengthen the Cybersecurity of Electronic Protected Health Information &#8211; Notice of Proposed Rule Making","2025 Federal Register, Federal Register, Survey and Certification",28
35746,"Weekly Wound Assessment and Summary Form","Forms and Tools, Nursing, Pressure Injuries, Tools and Templates",28
40280,"Infection Preventionist Competency Evaluation Form","Competencies and Skills, Competency/Job Descriptions, Infection Control, Nursing, Staff Development, Tools and Templates",28
463141,"Urinary Tract Infection (UTI) Checklist &#8211; NHSN 2024","Forms and Checklists, Infection Control, Nursing, Tools and Templates",28
473512,"*F-Tag Plan of Correction Customizable Template","Plan of Correction Packets, Survey Management, Tools and Templates",28
36085,"Advance Directive Tracker","Forms and Checklists, Social Services, Tools and Templates",28
28001,"F-641: Inaccurate Assessment of Resident (Plan of Correction Packet)","Plan of Correction Packets, Survey Management, Tools and Templates",28
499371,"Resident Monthly 1:1 Activity Log &#8211; Calendar Format","Activities, Activity Forms and Assessments, Tools and Templates",28
40119,"Non-Pharmacological Interventions Training Presentation Pre-Post Test (Questions with Answer Key)","Competencies and Skills, Non-Pharmacological Interventions, Staff Development, Tools and Templates",28
36116,"Non-Pharmacological Interventions","Forms and Checklists, Social Services, Tools and Templates",28
40423,"QAA Committee Meeting Minutes &#8211; Template","Administrative, QAPI, Tools, Tools and Templates",28
36075,"Survey Management Practice Guideline","Survey Management, Survey Management Tools, Tools and Templates",28
35913,"Oxygen Safety Education Competency Checklist","Competencies and Skills, Life Safety Code, Maintenance, Oxygen Safety, Staff Development, Tools, Tools and Templates",28
458012,"Bladder and Bowel Incontinence: A Care Solution","Care Solutions, Nursing, Tools and Templates",28
471022,"Facility Census Revenue Calculator","Administrative, Admissions, Business Office, Tools, Tools and Templates",28
38385,"Medication Administration Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",27
34131,"Resident Council Interview","Activities, Resident and Family Council, Tools and Templates",27
458448,"Laboratory Tracking Log","Nursing, Supplemental Tools, Tools and Templates",27
34094,"MDS Quick Guide: Activity Department","Activities, Instructional Guides, MDS, Supplemental Tools, Tools and Templates",27
40440,"QAPI Facility Plan &#8211; Template","Administrative, QAPI, Tools, Tools and Templates",27
35660,"Fall Risk Protocol: High Risk","Falls Prevention, Forms and Checklists, Nursing, Tools and Templates",27
35935,"Maintenance Checklist","Maintenance, Physical Plant, Tools, Tools and Templates",27
36083,"Advance Directive Audit Tool","Forms and Checklists, Social Services, Tools and Templates",27
39310,"Minimum Criteria for Initiation of Antibiotics","Antibiotic Stewardship, Infection Control, Nursing, Tools and Templates",27
36101,"Discharge Planning Resource List","Forms and Checklists, Social Services, Tools and Templates",27
37241,"Transmission-Based (Isolation) Precautions Policy","Emergency Preparedness, Environmental Services, Environmental Services, Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Policies and Procedures, Tools and Templates",26
35848,"Documentation Checklist For Life Safety Code Surveys","Life Safety Code, Maintenance, Tools, Tools and Templates",26
40220,"Transfer and Discharge (Including AMA) Policy and Policy Review Test (Questions with Answer Key)","Competencies and Skills, Resident Rights, Social Services, Social Services, Staff Development, Tools and Templates, Training",26
516364,"Medication Cart and Room Audit Checklist","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",26
34120,"Michigan &#8211; Healthcare Code: Facilities and Agencies (Article 17)","Long Term Care State Regulations, Michigan, State Regulations",26
36482,"Medication Pass Observation Form","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",26
37204,"Environmental Services Inspection Policy","Environmental Services, Environmental Services, Policies and Procedures, Policies and Procedures, Tools and Templates",26
42916,"Service Animals Policy","Activities, Activities, Policies and Procedures, Policies and Procedures, Tools and Templates",25
34174,"Dining and Resident Activity Rooms Policy","Activities, Activities, Food and Nutrition, Food and Nutrition Service, Policies and Procedures, Policies and Procedures, Policies and Procedures, Tools and Templates",25
37268,"Food Preparation Guidelines Policy","Food and Nutrition, Food and Nutrition Service, Policies and Procedures, Policies and Procedures, Tools and Templates",25
35687,"Resident Falls Tracking Log","Falls Prevention, Forms and Checklists, Nursing, Tools and Templates",25
457610,"Employee Disciplinary Form","Forms and Checklists, Human Resources, Tools and Templates",25
509498,"Ice Machines and Portable Ice Carts Policy","Maintenance, Maintenance, Nursing, Nursing Processes, Physical Plant, Policies and Procedures, Policies and Procedures, Tools and Templates",25
36924,"Emergency Preparedness Collaborative Process Policy","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",25
39613,"Educator Competency Checklist","Competencies and Skills, Staff Development, Tools and Templates",25
529537,"F-605: Failure to Ensure a Resident Receiving Psychotropic Medication Had an Adequate Indication for Use and Appropriate Documentation Resulting in Resident’s Mental and Physical Decline (Immediate Jeopardy Removal Plan)","Immediate Jeopardy Removal Plans, Survey Management, Tools and Templates",25
38118,"Walking Shift Reporting (Nurses)","Nursing, Supplemental Tools, Tools and Templates",25
513132,"Pressure Injury Skin Inspection &#8211; Nursing Assistants Validation Checklist","Competencies and Skills, Forms and Tools, Nursing, Pressure Injuries, Pressure Injuries, Staff Development, Tools and Templates, Wound Management",25
460053,"Safety Check Log","Nursing, Supplemental Tools, Tools and Templates",25
465539,"Emergency Crash Cart Checklist","Nursing, Supplemental Tools, Tools and Templates",25
35540,"Sanitation Plan","Food and Nutrition Forms, Food and Nutrition Service, Tools and Templates",25
24586,"Infection Prevention, Control and Immunizations: CMS-20054 Form","4. Mandatory Facility Level Tasks, Long Term Care Survey Process, Survey and Certification",25
36055,"Meal Service Rounds Mock Survey Checklist","Survey Management, Survey Management Tools, Tools and Templates",25
40277,"Infection Preventionist Job Description","Competency/Job Descriptions, Human Resources, Infection Control, Job Descriptions, Nursing, Tools and Templates",25
35985,"MDS 3.0 Responsibility by Discipline Assignment List","MDS, Supplemental Tools, Tools and Templates",25
24630,"Surveyor Notes Worksheet","8. Surveyor Worksheets, Long Term Care Survey Process, Survey and Certification",25
39317,"Example Infection Surveillance Action Plan","Forms and Checklists, Infection Control, Nursing, Tools and Templates",24
39325,"Immunization Record Form","Forms and Checklists, Infection Control, Nursing, Tools and Templates",24
466479,"Infection Prevention and Control Assessment Tool for Long Term Care Facilities &#8211; CDC","Financial, Forms and Checklists, Infection Control, Measure Specifications, Nursing, SNF Quality Reporting Program, Tools and Templates",24
39173,"Cleaning and Disinfection of Resident-Care Equipment Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",24
40884,"Cultural Assessment Form","Forms and Checklists, Social Services, Tools and Templates",24
29719,"Notice of Resident Transfer or Discharge Form","Administrative, Business Office, Forms and Checklists, Social Services, Tools, Tools and Templates",24
35680,"Post Fall 72 Hour Monitoring Report","Falls Prevention, Forms and Checklists, Nursing, Tools and Templates",24
