"Document ID","Document Title",Categories,"Number of Downloads"
38568,"Notification of Changes Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",3
38280,"Ostomy Care &#8211; Colostomy, Urostomy, and Ileostomy Policy","Clinical, Nursing, Policies and Procedures, Tools and Templates",3
37831,"Resident and Family Grievances Policy","Policies and Procedures, Policies and Procedures, Social Services, Social Services, Tools and Templates",3
38134,"Proper Use of Bed Rails Policy","Falls Prevention, Nursing, Nursing, Nursing Processes, Policies and Procedures, Policies and Procedures, Tools and Templates",3
38137,"Resident Alarms Policy","Falls Prevention, Nursing, Nursing, Nursing Processes, Policies and Procedures, Policies and Procedures, Tools and Templates",3
38622,"Restorative Nursing Programs Policy","Nursing, Nursing, Nursing Processes, Policies and Procedures, Policies and Procedures, Restorative Nursing Services, Tools and Templates",3
463244,"Safe Resident Handling/Transfers Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",3
38181,"Pressure Injury Prevention and Management Policy","Nursing, Nursing, Policies and Procedures, Policies and Procedures, Pressure Injuries, Tools and Templates, Wound Management",3
35651,"Bed Rail Use Assessment Form","Falls Prevention, Forms and Checklists, Nursing, Supplemental Tools, Tools and Templates",3
35278,"Environmental Services Cleaning Procedures for Common Items","Environmental Services, Instructional Guides, Tools and Templates",3
461615,"Glucometer Control Log","Nursing, Supplemental Tools, Tools and Templates",3
36089,"Behavior Management Program Flowchart","Forms and Checklists, Social Services, Tools and Templates",3
38443,"Unavailable Medications Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",3
27860,"F-813 Personal Food Policy","Appendix PP (F-Tags), Survey and Certification",3
38348,"Controlled Substance Administration and Accountability Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",3
453984,"Resident Aggression: Understanding and Managing Difficult Behaviors Training Presentation Pre-Post Test (Questions with Answer Key)","Behavioral Health Services, Competencies and Skills, Social Services, Staff Development, Tools and Templates, Training",3
38115,"Walking Shift Reporting (CNA)","Nursing, Supplemental Tools, Tools and Templates",3
456661,"Activities Assistant Job Description","Activities, Competency Job Description, Human Resources, Job Descriptions, Tools and Templates",2
34075,"Activities Director Job Description","Activities, Competency Job Description, Human Resources, Job Descriptions, Tools and Templates",2
456687,"Administrator Job Description","Human Resources, Job Descriptions, Tools and Templates",2
456699,"Assistant Director of Nursing Job Description","Human Resources, Job Descriptions, Tools and Templates",2
35753,"Social Services Director Job Description","Competency/Job Descriptions, Human Resources, Job Descriptions, Social Services, Tools and Templates",2
506746,"Chest Physiotherapy/Compression Vest Policy","Nursing, Nursing Processes, Policies and Procedures, Therapy, Tools and Templates",2
38503,"Communication of Code Status Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",2
36480,"Medication Error Report Form","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",2
36475,"MAR Signature Review &#8211; Validation Checklist","Competencies and Skills, Forms for Medication Management, Medication Management, Nursing, Staff Development, Tools and Templates",2
36477,"Medication Error Reduction Performance Improvement Project (PIP) Worksheet &#8211; Template","Administrative, Forms for Medication Management, Medication Management, Nursing, Performance Improvement Projects, QAPI, Tools and Templates",2
36473,"Insulin 28 Day Expiration Date Calculator","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",2
43190,"Baseline Care Plan Tracking Log","MDS, Supplemental Tools, Tools and Templates",2
34817,"Survey Process Critical Element Pathways (Combined)","1. LTC Survey Process Procedures, Long Term Care Survey Process, Survey and Certification",2
39329,"Infection Control Performance Improvement Project (PIP) Worksheet &#8211; Template","Administrative, Forms and Checklists, Infection Control, Nursing, Performance Improvement Projects, QAPI, Tools and Templates",2
40457,"QAPI Performance Improvement Project (PIP) Inventory","Element 4 - Performance Improvement Projects, Government Initiatives, QAPI",2
35193,"Worksheet to Create a Performance Improvement Project Charter","Element 4 - Performance Improvement Projects, Government Initiatives, QAPI",2
40223,"Resident and Family Grievance Resolution Policy and Policy Review Test (Questions with Answer Key)","Competencies and Skills, Resident Rights, Social Services, Social Services, Staff Development, Tools and Templates, Training",2
40440,"QAPI Facility Plan &#8211; Template","Administrative, QAPI, Tools, Tools and Templates",2
38319,"Verifying Placement of Feeding Tube Policy","Clinical, Nursing, Policies and Procedures, Tools and Templates",2
517801,"Transportation Assistant Job Description","Human Resources, Job Descriptions, Tools and Templates",2
468145,"Psychotropic Medication Informed Consent Form","Forms and Checklists, Forms for Medication Management, Medication Management, Nursing, Social Services, Tools and Templates",2
39334,"Infection Log","Forms and Checklists, Infection Control, Nursing, Tools and Templates",2
37623,"Comprehensive Care Plans Policy","MDS, Minimum Data Set (MDS), Policies and Procedures, Policies and Procedures, Tools and Templates",2
39185,"Glucometer Disinfection Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",2
27722,"F-559 Choose/Be Notified of Room/Roommate Change","Appendix PP (F-Tags), Survey and Certification",2
35118,"PDPM Preadmission Screening Tool","Administrative, Financial Solutions, PDPM, Tools and Templates",2
38038,"Oxygen Safety Policy","Life Safety Code, Life Safety Code, Maintenance, Policies and Procedures, Policies and Procedures, Tools and Templates",2
38128,"Fall Risk Assessment Policy","Falls Prevention, Nursing, Nursing, Nursing Processes, Policies and Procedures, Policies and Procedures, Tools and Templates",2
511368,"Foreign Body Airway Obstruction Management (Choking) Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",2
38131,"Head Injury Policy","Falls Prevention, Nursing, Nursing, Nursing Processes, Policies and Procedures, Policies and Procedures, Tools and Templates",2
449724,"Professionalism – Customer Service &#8211; HR Policy","Human Resources, Human Resources, Policies and Procedures, Policies and Procedures, Tools and Templates",2
40161,"Staff Development Coordinator Job Description","Human Resources, Job Descriptions, Program Development, Staff Development, Supplemental Tools, Tools and Templates",2
461185,"Shelter-in-Place for Winter Storm","Emergency Preparedness, Natural Hazards, Safety, Winter Storms",2
13140,"Be Prepared for a Winter Storm","Emergency Preparedness, Natural Hazards, Safety, Winter Storms",2
461905,"Elopement Prevention Tips","Nursing, Supplemental Tools, Tools and Templates",2
38294,"Nail Care Policy","Clinical, Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",2
38578,"Nursing Services &#8211; Registered Nurse (RN) Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",2
38645,"Vital Signs Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",2
36261,"Nursing Services and Sufficient Staff Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",2
38291,"Pouch Changes &#8211; Colostomy, Urostomy, and Ileostomy Policy","Clinical, Nursing, Policies and Procedures, Tools and Templates",2
551951,"Five Star Ratings (October 2025)","Five Star Quality Rating System, Star Ratings, Survey and Certification",2
38581,"Offering/Serving Bedtime Snacks Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",2
38605,"Promoting/Maintaining Resident Dignity During Mealtimes Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",2
38608,"Promoting/Maintaining Resident Dignity Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",2
36136,"Social History and Psychosocial Assessment Form","Forms and Checklists, Social Services, Tools and Templates",2
37318,"Use and Storage of Food Brought in by Family or Visitors Policy","Food and Nutrition, Food and Nutrition Service, Policies and Procedures, Policies and Procedures, Tools and Templates",2
39332,"Infection Control Validation Checklists","Competencies and Skills, Forms and Checklists, Infection Control, Nursing, Staff Development, Tools and Templates",2
36140,"Social Services Related F-Tag Guide","Forms and Checklists, Social Services, Tools and Templates",2
489494,"Working with Younger Residents Fact Sheet","Person Centered Care, Social Services, Social Services, Staff Development, Tools and Templates, Training",2
478442,"Ergonomics for Long-Term Care Staff Training Presentation","Musculoskeletal Care, Staff Development, Tools and Templates",2
461473,"Specimen Collection Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",2
40431,"QAPI Action Plan &#8211; Template","Administrative, QAPI, Tools, Tools and Templates",2
40462,"QAPI Plan, Do, Study, Act (PDSA) Worksheet","Administrative, QAPI, Tools, Tools and Templates",2
38166,"Clean Dressing Change Policy","Nursing, Nursing, Policies and Procedures, Policies and Procedures, Pressure Injuries, Tools and Templates, Wound Management",2
38184,"Pressure Injury Prevention Guidelines Policy","Nursing, Nursing, Policies and Procedures, Policies and Procedures, Pressure Injuries, Tools and Templates, Wound Management",2
38190,"Pressure Injury Surveillance Policy","Nursing, Nursing, Policies and Procedures, Policies and Procedures, Pressure Injuries, Tools and Templates, Wound Management",2
38197,"Skin Audits by Nursing Assistants Policy","Nursing, Nursing, Policies and Procedures, Policies and Procedures, Pressure Injuries, Tools and Templates, Wound Management",2
527001,"Policies and Procedures Review Tracking Tool","*Table of Contents for P&amp;Ps, Policies and Procedures, Tools and Templates",2
38200,"Skin Integrity &#8211; Foot Care Policy","Nursing, Nursing, Policies and Procedures, Policies and Procedures, Pressure Injuries, Tools and Templates, Wound Management",2
38203,"Skin Integrity &#8211; Skin Tears Policy","Nursing, Nursing, Policies and Procedures, Policies and Procedures, Pressure Injuries, Tools and Templates, Wound Management",2
457833,"Bladder and Bowel Retraining Tool","Nursing, Supplemental Tools, Tools and Templates",2
38212,"Wound Cultures Policy","Nursing, Nursing, Policies and Procedures, Policies and Procedures, Pressure Injuries, Tools and Templates, Wound Management",2
532719,"Injection Administration Validation Checklist","Competencies and Skills, Staff Development, Tools and Templates",2
514420,"Infection Preventionist Task Review Checklist","Forms and Checklists, Infection Control, Nursing, Tools and Templates",2
27919,"F-Tag Regulatory Grouping Chart","Appendix PP (F-Tags), Survey and Certification",2
450180,"Altered Nutrition/Hydration Evaluation","Food and Nutrition Forms, Food and Nutrition Service, Nursing, Supplemental Tools, Tools and Templates",2
35675,"Incident Review Quality Assurance Form","Administrative, Falls Prevention, Forms and Checklists, Nursing, QAPI, Tools, Tools and Templates",2
545260,"Food Intake Form","Food and Nutrition Forms, Food and Nutrition Service, Tools and Templates",2
505489,"Intake and Output Form","Food and Nutrition Forms, Food and Nutrition Service, Nursing, Supplemental Tools, Tools and Templates",2
466185,"Inventory Control Log","Food and Nutrition Forms, Food and Nutrition Service, Nursing, Supplemental Tools, Tools and Templates",2
28043,"F-812: Cross-Contamination on the Serving Line (Plan of Correction Packet)","Plan of Correction Packets, Survey Management, Tools and Templates",2
40197,"Conflict Resolution Fact Sheet and Pre-Post Test (Questions with Answer Key)","Competencies and Skills, Professional Development, Staff Development, Tools and Templates",2
458748,"Bloodborne Pathogens/Contaminated Sharps Occupational Exposure Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",2
27720,"F-557 Respect, Dignity/Right to Have Personal Property","Appendix PP (F-Tags), Survey and Certification",2
510918,"F-Tag Policy Crosswalk","*Table of Contents for P&amp;Ps, Policies and Procedures, Tools and Templates",2
37664,"Behavioral Health Services Policy","Policies and Procedures, Policies and Procedures, Social Services, Social Services, Tools and Templates",2
459229,"Central Venous Access Catheter Flushing, Locking, Removal Policy","Clinical, Nursing, Policies and Procedures, Tools and Templates",2
37241,"Transmission-Based (Isolation) Precautions Policy","Emergency Preparedness, Environmental Services, Environmental Services, Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Policies and Procedures, Tools and Templates",2
39394,"Abuse Reporting Requirements: Suspected Crimes v. Alleged Violations","Abuse, Abuse Prevention and Reporting, Staff Development, Tools and Templates",2
39315,"Employee Tuberculosis (TB) Symptom Screen","Forms and Checklists, Infection Control, Nursing, Tools and Templates",2
470697,"SOM Exhibit 358  &#8211; Sample Form for Facility Reported Incidents","Chapters, SOM – Chapter 9, State Operations Manual (SOM), Survey and Certification",2
470699,"SOM Exhibit 359  &#8211; Follow-up Investigation Report","Chapters, SOM – Chapter 9, State Operations Manual (SOM), Survey and Certification",2
510711,"Guardian Angel Rounds Checklist","Administrative, QAPI, Tools, Tools and Templates",2
39403,"Resident Abuse Prevention and Reporting Training Presentation","Abuse, Abuse Prevention and Reporting, Staff Development, Tools and Templates",2
39415,"Abuse, Neglect, and Exploitation Investigation Training Presentation Pre-Post Test (Questions with Answer Key)","Abuse, Abuse, Neglect, and Exploitation Investigation, Competencies and Skills, Social Services, Social Services, Staff Development, Tools and Templates, Training",2
36134,"Residents&#8217; Rights Poster","Forms and Checklists, Social Services, Tools and Templates",2
459366,"Flushing and Locking a Central Venous Access/Midline/PICC Catheter Validation Checklist","Competencies and Skills, IV Care, Staff Development, Tools and Templates",2
39263,"Transporting a Resident On Isolation Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",2
456804,"Medication Room Refrigerator Temperature Log","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",2
496220,"Restorative Program Process Auditing Chart Review","Administrative, Process Auditing Tools, QAPI, Tools and Templates",2
37040,"Communication Systems Log","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Forms and Tools, Forms and Tools, Safety, Tools and Templates",2
453982,"Resident Aggression: Understanding and Managing Difficult Behaviors Training Presentation Handout","Behavioral Health Services, Social Services, Staff Development, Tools and Templates, Training",2
517315,"Progress Note Template for Electronic Downtime","Nursing, Supplemental Tools, Tools and Templates",2
39938,"Effective Communication Training Presentation Pre-Post Test (Questions with Answer Key)","Competencies and Skills, Effective Communication, Staff Development, Tools and Templates",2
454890,"Elopement Risk Assessment Tool","Nursing, Supplemental Tools, Tools and Templates",2
466212,"*Job Description Customizable Template","Human Resources, Job Descriptions, Tools and Templates",2
39981,"HIPAA Privacy Rule Training Presentation Pre-Post Test (Questions with Answer Key)","Competencies and Skills, HIPAA, Staff Development, Tools and Templates",2
39973,"HIPAA Security Rule Training Presentation Pre-Post Test (Questions with Answer Key)","Competencies and Skills, HIPAA, Staff Development, Tools and Templates",2
36106,"Grievance Form","Forms and Checklists, Social Services, Tools and Templates",2
34111,"Maryland &#8211; Nursing Homes (Title 10 &#8211; Subtitle 07 &#8211; Chapter 02)","Long Term Care State Regulations, Maryland, State Regulations",2
37069,"Evacuation and Shelter in Place Decision Tool","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Forms and Tools, Forms and Tools, Safety, Tools and Templates",2
35656,"Fall Interventions List","Falls Prevention, Forms and Checklists, Nursing, Tools and Templates",2
37082,"Incident Command Organizational Chart","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Forms and Tools, Forms and Tools, Safety, Tools and Templates",2
37092,"Resident Evacuation Tracking Log","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Forms and Tools, Forms and Tools, Safety, Tools and Templates",2
37035,"Staff Responsibilities for Evacuation &#8211; Checklists","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Roles and Responsibilities, Roles and Responsibilities, Safety, Tools and Templates",2
461173,"Shelter-in-Place for Chemical Hazard","Emergency Preparedness, Man Made Hazards, Safety, Terrorist Attacks",2
37608,"Baseline Care Plan Policy","MDS, Minimum Data Set (MDS), Policies and Procedures, Policies and Procedures, Tools and Templates",2
27876,"F-849 Hospice Services","Appendix PP (F-Tags), Survey and Certification",2
518885,"Medication Record Administration (MAR) for Electronic Downtime","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",2
37605,"Assessment Frequency/Timeliness Policy","MDS, Minimum Data Set (MDS), Policies and Procedures, Policies and Procedures, Tools and Templates",2
37216,"Handling Soiled Linen Policy","Environmental Services, Environmental Services, Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Policies and Procedures, Tools and Templates",2
36749,"Smoke Free Facility Policy","Administration, Policies and Procedures, Tools and Templates",2
457449,"Behavior Management Plan Sample","Nursing, Supplemental Tools, Tools and Templates",2
39992,"Hand Hygiene Policy and Policy Review Test (Questions with Answer Key)","Competencies and Skills, Infection Control, Infection Control, Nursing, Prevention, Staff Development, Tools and Templates, Training",2
35292,"Dietary Aide Competency Checklist","Competencies and Skills, Competency/Job Description, Food and Nutrition Service, Staff Development, Tools and Templates",2
505113,"HR Policy Review Acknowledgement","Forms and Checklists, Human Resources, Tools and Templates",2
458786,"Facility 24 Hour Report Form","Nursing, Supplemental Tools, Tools and Templates",2
23041,"Part 785 &#8211; Hours Worked","DOL / Human Resources, Regulations &amp; Standards, Regulatory Agencies, Wage and Hour",2
43654,"Binder Basics: Restorative Nursing Services (Binder Spine)","Binder Basics, Nursing, Restorative Nursing Services, Tools and Templates",2
37247,"Date Marking for Food Safety Policy","Food and Nutrition, Food and Nutrition Service, Policies and Procedures, Policies and Procedures, Tools and Templates",2
37584,"C. diff Factsheet","CDC, Clostridioides difficile, Regulatory Agencies",1
456690,"Admissions Coordinator Job Description","Administrative, Admissions, Human Resources, Job Descriptions, Tools and Templates",1
456693,"Admissions Director Job Description","Administrative, Admissions, Human Resources, Job Descriptions, Tools and Templates",1
456796,"Admissions Sales/Marketing Representative Job Description","Administrative, Admissions, Human Resources, Job Descriptions, Tools and Templates",1
32060,"Environmental Services Director Job Description","Competency Job Description, Environmental Services, Human Resources, Job Descriptions, Tools and Templates",1
35244,"Environmental Services Housekeeper Job Description","Competency Job Description, Environmental Services, Human Resources, Job Descriptions, Tools and Templates",1
465705,"Environmental Services Laundry Worker Job Description","Competency Job Description, Environmental Services, Human Resources, Job Descriptions, Tools and Templates",1
456714,"Dietary Cook Job Description","Competency/Job Description, Food and Nutrition Service, Human Resources, Job Descriptions, Tools and Templates",1
35286,"Dietary Manager Job Description","Competency/Job Description, Food and Nutrition Service, Human Resources, Job Descriptions, Tools and Templates",1
456711,"Dietary Aide Job Description","Competency/Job Description, Food and Nutrition Service, Human Resources, Job Descriptions, Tools and Templates",1
517831,"Floor Technician Assistant Job Description","Human Resources, Job Descriptions, Tools and Templates",1
517996,"Maintenance Assistant Job Description","Human Resources, Job Descriptions, Tools and Templates",1
456723,"Maintenance Director Job Description","Human Resources, Job Descriptions, Tools and Templates",1
456726,"Medical Records Clerk Job Description","Human Resources, Job Descriptions, Tools and Templates",1
468000,"Occupational Therapist Job Description","Human Resources, Job Descriptions, Tools and Templates",1
468490,"Occupational Therapy Assistant Job Description","Human Resources, Job Descriptions, Tools and Templates",1
468006,"Rehabilitation Director Job Description","Human Resources, Job Descriptions, Tools and Templates",1
468003,"Physical Therapist Job Description","Human Resources, Job Descriptions, Tools and Templates",1
468493,"Physical Therapy Assistant Job Description","Human Resources, Job Descriptions, Tools and Templates",1
547214,"Respiratory Therapist Job Description","Human Resources, Job Descriptions, Tools and Templates",1
456738,"Social Services Designee Job Description","Competency/Job Descriptions, Human Resources, Job Descriptions, Social Services, Tools and Templates",1
456741,"Social Worker Job Description","Competency/Job Descriptions, Human Resources, Job Descriptions, Social Services, Tools and Templates",1
468009,"Speech Language Pathologist Job Description","Human Resources, Job Descriptions, Tools and Templates",1
27956,"Focused Dementia Care Survey: Facility-Specific Questions","Dementia/ Anti Psychotic Drugs, Government Initiatives",1
42866,"Care and Treatment of Adolescents Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",1
38488,"Care and Treatment of Bariatric Residents Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",1
38491,"Care and Use of Hearing Aids Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",1
38494,"Care of Dentures Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",1
38497,"Care of Eyeglasses Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",1
38500,"Care Planning Special Needs &#8211; Dialysis Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",1
508067,"General Chart Documentation Guidelines Checklist","Nursing, Supplemental Tools, Tools and Templates",1
467141,"Continuous Glucose Monitors (CGM) Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",1
38506,"Coordination of Hospice Services Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",1
457789,"Dementia Care Policy","Nursing, Nursing Processes, Policies and Procedures, Policies and Procedures, Social Services, Social Services, Tools and Templates",1
456858,"Medication Cross Match Form","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",1
35968,"CAA and Care Plan Division of Responsibility &#8211; Expectation List","MDS, Supplemental Tools, Tools and Templates",1
551976,"Care Plan Audit Form","MDS, Supplemental Tools, Tools and Templates",1
461902,"Diagnosis Code Impact Inventory Template","General Information, ICD Codes, ICD-10, MDS, Supplemental Tools, Tools and Templates",1
459158,"MDS Assessment and Interviewing Instructions","MDS, Supplemental Tools, Tools and Templates",1
455815,"MDS PDPM Dashboard","MDS, MDS 3.0, Supplemental Documents, Supplemental Tools, Tools and Templates",1
452857,"*HIPAA Security: A Compliance Solution","**HIPAA Security Quick Start Tool Kit, Administrative, HIPAA, HIPAA, Regulatory Agencies, Tools, Tools and Templates",1
29829,"Binder Basics: Pressure Injuries","Binder Basics, Nursing, Pressure Injuries, Tools and Templates",1
548939,"Stay in the Cyber Safety Zone: Protect Your Patients From the Top 5 Cyber Threats Poster","HIPAA, Regulatory Agencies, Security Rule",1
548933,"Staying Cyber Safe in the Healthcare Sector: Tips for Organizations Infographic","HIPAA, Regulatory Agencies, Security Rule",1
35963,"MDS Assessment Typing/Combinations Table","MDS, MDS 3.0, Supplemental Documents, Supplemental Tools, Tools and Templates",1
544755,"Healthcare Provider Disclosure of Protected Health Information to Accountable Care Organizations &#8211; HIPAA Privacy Rule","HIPAA, Privacy Rule, Regulatory Agencies",1
543917,"Joint Cybersecurity Advisory: #StopRansomware: Interlock","HIPAA, Regulatory Agencies, Security Rule",1
27593,"HIPAA Privacy Rule: Communicating with a Patient’s Family, Friends, or Others Involved in the Patient’s Care","HIPAA, Privacy Rule, Regulatory Agencies",1
36224,"Certification and Recertification Policy","Administrative, Business Office, Business Office, MDS, Minimum Data Set (MDS), Policies and Procedures, Policies and Procedures, Policies and Procedures, Tools and Templates",1
27628,"Protect Your Workplace: Cybersecurity Guidance Posters","HIPAA, Regulatory Agencies, Security Rule",1
42624,"Medicare Days Tracker","MDS, Supplemental Tools, Tools and Templates",1
35189,"QAPI Goal Setting Worksheet","Element 4 - Performance Improvement Projects, Government Initiatives, QAPI",1
40828,"HIPAA Security Rule Policies and Tools","**HIPAA Security Quick Start Tool Kit, Administrative, HIPAA, HIPAA, Regulatory Agencies, Tools, Tools and Templates",1
35207,"QAPI Flowchart Guide","Element 5 - Systematic Analysis and Systemic Action, Government Initiatives, QAPI",1
27551,"OCR HIPAA Audit Protocol","Administrative Simplification, HIPAA, Regulatory Agencies",1
39245,"Resident Screening for Tuberculosis Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",1
