"Company Name",State,"Company Status","Last Modified on"
"Christwood Retirement Community",LA,none,"May 13, 2020 @ 2:34 pm by Mandy.Lytle"
"USA Healthcare",AL,none,"May 13, 2020 @ 10:45 am by lorrel.filliater"
"Self Health Care and Rehab Center Inc",AL,none,"May 12, 2020 @ 12:09 pm by lorrel.filliater"
"Glenview Health Care",KY,none,"May 12, 2020 @ 8:52 am by lorrel.filliater"
"Christian Health Care Center",WA,none,"May 11, 2020 @ 2:10 pm by lorrel.filliater"
"The Wisdom Group",AL,none,"May 11, 2020 @ 11:18 am by Mandy.Lytle"
"Oakview Manor",AL,none,"May 11, 2020 @ 11:17 am by Mandy.Lytle"
"Harborview Health System",GA,none,"May 11, 2020 @ 8:39 am by Mandy.Lytle"
"Watsontown Nursing and Rehab",PA,none,"May 1, 2020 @ 5:15 pm by Mandy.Lytle"
"Grady Health System-Crestview Health &amp; Rehabilitation Center",GA,disable,"May 1, 2020 @ 8:14 am by Mandy.Lytle"
"Beaver City Manor",NE,none,"April 30, 2020 @ 8:18 am by Mandy.Lytle"
"Paul Oliver Memorial Hospital LTC",MI,none,"April 24, 2020 @ 12:06 pm by Mandy.Lytle"
"Barton Memorial Hospital",CA,none,"April 24, 2020 @ 12:05 pm by Mandy.Lytle"
"Kin On Health Care Center",WA,none,"April 23, 2020 @ 8:33 am by Mandy.Lytle"
"Cavalier Healthcare of England",AR,none,"April 23, 2020 @ 8:26 am by Mandy.Lytle"
"Memorial Hospital at Gulfport",MS,none,"April 22, 2020 @ 9:21 am by Mandy.Lytle"
"Westwood Nursing",MI,none,"April 15, 2020 @ 11:08 am by Mandy.Lytle"
"Beaconshire Nursing Centre",MI,none,"April 15, 2020 @ 11:07 am by Mandy.Lytle"
"Chesaning Nursing and Rehab",MI,none,"April 15, 2020 @ 11:07 am by Mandy.Lytle"
"Wellcare Consulting &amp; Management",MI,none,"April 15, 2020 @ 11:07 am by Mandy.Lytle"
"Core of Dale",IN,none,"April 9, 2020 @ 5:03 pm by Mandy.Lytle"
"Parkwood in the Pines",TX,none,"April 9, 2020 @ 9:50 am by Mandy.Lytle"
"Notre Dame Convalesant Home",CT,none,"April 8, 2020 @ 10:34 am by Mandy.Lytle"
"Argentine Care Center",MI,none,"April 8, 2020 @ 9:37 am by Mandy.Lytle"
"Miami Jewish Health Systems",FL,none,"April 6, 2020 @ 4:25 pm by Mandy.Lytle"
"Christian Horizons",IL,none,"April 6, 2020 @ 3:31 pm by mstypinski"
"Prestige Administrative Services LLC",KY,none,"April 6, 2020 @ 8:07 am by Mandy.Lytle"
"Generations Center of Spencer",TN,none,"March 31, 2020 @ 11:29 am by Mandy.Lytle"
"Generations of Red Bay",AL,none,"March 31, 2020 @ 11:28 am by Mandy.Lytle"
"Generations Management",AL,none,"March 31, 2020 @ 11:27 am by Mandy.Lytle"
"Generations of Vernon",AL,none,"March 31, 2020 @ 11:27 am by Mandy.Lytle"
"Vernon Manor Health Care Center",CT,none,"March 31, 2020 @ 11:22 am by Mandy.Lytle"
"Health Care Inc.",AL,none,"March 31, 2020 @ 11:02 am by Mandy.Lytle"
"Memorial Healthcare System",FL,none,"March 30, 2020 @ 10:45 am by Mandy.Lytle"
"Charleston Healthcare",LA,none,"March 30, 2020 @ 10:05 am by Mandy.Lytle"
"Burns Nursing &amp; Rehab",AL,none,"March 30, 2020 @ 9:39 am by Mandy.Lytle"
"Finnish American Rest Home",FL,none,"March 26, 2020 @ 12:57 pm by Mandy.Lytle"
"Hattiesburg Medical Park Management",MS,none,"March 26, 2020 @ 9:10 am by lorrel.filliater"
"The Kings Daughters and Sons Home",TN,none,"March 25, 2020 @ 2:29 pm by Mandy.Lytle"
"Pinewood Manor Nursing Home",GA,none,"March 25, 2020 @ 9:12 am by Mandy.Lytle"
"Allegan County Medical Care Community",MI,none,"March 25, 2020 @ 8:56 am by Mandy.Lytle"
"River View Health and Rehab",VA,none,"March 19, 2020 @ 12:41 pm by Mandy.Lytle"
"Windsor Healthcare Management",NJ,none,"March 16, 2020 @ 3:52 pm by Mandy.Lytle"
"Windsor Care Center",KY,none,"March 16, 2020 @ 11:49 am by Mandy.Lytle"
"DiaKonos Group",OK,none,"March 16, 2020 @ 11:12 am by Mandy.Lytle"
"Ashley Medical Center Nursing Home",ND,disable,"March 16, 2020 @ 11:09 am by Mandy.Lytle"
"National Church Residences",OH,none,"March 13, 2020 @ 12:53 pm by Mandy.Lytle"
"Gateway Care and Retirement",OR,none,"March 12, 2020 @ 2:02 pm by Mandy.Lytle"
"Washington Odd Fellows Home",WA,none,"March 9, 2020 @ 9:55 am by Mandy.Lytle"
"Westfield Quality Care of Aurora",NE,none,"March 9, 2020 @ 9:53 am by Mandy.Lytle"
"Hemingford Care Center",NE,none,"March 9, 2020 @ 9:52 am by Mandy.Lytle"
"Community Memorial Health Center",NE,none,"March 9, 2020 @ 9:52 am by Mandy.Lytle"
"Bedford Care Center Warren Hall LLC dba Bedford Care Center of Picayune",MS,none,"March 5, 2020 @ 11:25 am by Mandy.Lytle"
"Franklin County Rehab",VT,none,"March 5, 2020 @ 11:09 am by Mandy.Lytle"
"Auburn Healthcare",KY,none,"March 4, 2020 @ 10:39 am by Mandy.Lytle"
"St Lukes Sacred Heart Campus Transitional Care Facility",PA,none,"March 3, 2020 @ 8:34 am by mstypinski"
"St Lukes Miners Nursing and Rehabilitation Center- Coaldale",PA,none,"March 3, 2020 @ 8:32 am by mstypinski"
"St Lukes Health Network Inc dba St Lukes University Health Network",PA,none,"March 3, 2020 @ 8:28 am by mstypinski"
"Pioneer Manor",NE,none,"March 2, 2020 @ 3:44 pm by Mandy.Lytle"
"St. Luke's Home",ND,none,"March 2, 2020 @ 2:08 pm by Mandy.Lytle"
"Laurelbrook Nursing Home",TN,none,"February 27, 2020 @ 11:02 am by Mandy.Lytle"
"Russellville Health Care, Inc",AL,none,"February 25, 2020 @ 4:54 pm by Mandy.Lytle"
"Woodhaven Manor",AL,none,"February 25, 2020 @ 4:48 pm by Mandy.Lytle"
"Lebanon Veterans Home",OR,none,"February 25, 2020 @ 4:17 pm by Mandy.Lytle"
"Oregon Veterans Home The Dalles",OR,none,"February 25, 2020 @ 4:17 pm by Mandy.Lytle"
"Veterans Care Centers of Oregon/Westcare Management",OR,none,"February 25, 2020 @ 4:16 pm by Mandy.Lytle"
"Mennonite Village",OR,none,"February 25, 2020 @ 4:07 pm by Mandy.Lytle"
"Mary Wade",CT,none,"February 25, 2020 @ 3:00 pm by Mandy.Lytle"
"Hartford Healthcare Senior Services, Inc.",CT,none,"February 25, 2020 @ 3:00 pm by Mandy.Lytle"
Livewell,CT,none,"February 25, 2020 @ 2:59 pm by Mandy.Lytle"
"Fairview, Odd Fellows Home of Connecticut",CT,none,"February 25, 2020 @ 2:59 pm by Mandy.Lytle"
McLean,CT,none,"February 25, 2020 @ 2:58 pm by Mandy.Lytle"
"Saint Joseph's Living Center",CT,none,"February 25, 2020 @ 2:57 pm by Mandy.Lytle"
"Connecticut Baptist Homes",CT,none,"February 25, 2020 @ 2:55 pm by Mandy.Lytle"
"Monsignor Bojnowski Manor",CT,none,"February 25, 2020 @ 2:53 pm by Mandy.Lytle"
"Wesley Des Moines",WA,none,"February 25, 2020 @ 2:52 pm by Mandy.Lytle"
"McKay Healthcare and Rehab Center",WA,none,"February 25, 2020 @ 2:52 pm by Mandy.Lytle"
"Wathena Health &amp; Rehabilitation",KS,none,"February 25, 2020 @ 2:31 pm by Mandy.Lytle"
"Sandpiper Health &amp; Rehabilitation",KS,none,"February 25, 2020 @ 2:31 pm by Mandy.Lytle"
"Rossville Health &amp; Rehab",KS,none,"February 25, 2020 @ 2:29 pm by Mandy.Lytle"
"Richmond Health &amp; Rehab",KS,none,"February 25, 2020 @ 2:29 pm by Mandy.Lytle"
"Louisburg Health &amp; Rehab",KS,none,"February 25, 2020 @ 2:27 pm by Mandy.Lytle"
"Highland Health &amp; Rehabilitation",KS,none,"February 25, 2020 @ 2:26 pm by Mandy.Lytle"
"Flints Hills Care Center",KS,none,"February 25, 2020 @ 2:25 pm by Mandy.Lytle"
"Baldwin Health &amp; Rehabilitation",KS,none,"February 25, 2020 @ 2:25 pm by Mandy.Lytle"
"Quality Healthcare of Bothell",WA,none,"February 25, 2020 @ 1:33 pm by Mandy.Lytle"
"Appling Nursing and Rehab Pavilion",GA,none,"February 25, 2020 @ 1:14 pm by mstypinski"
"Terrace Manor Nursing and Rehab Center",MS,none,"February 25, 2020 @ 1:09 pm by mstypinski"
"Silver Cross Health and Rehab",MS,none,"February 25, 2020 @ 12:54 pm by mstypinski"
"Landmark Nursing and Rehab Center",MS,none,"February 25, 2020 @ 12:41 pm by mstypinski"
"Clarkson Community Care Center",NE,none,"February 25, 2020 @ 11:25 am by Mandy.Lytle"
"Beacon Hill at Eastgate",MI,none,"February 25, 2020 @ 10:57 am by Mandy.Lytle"
"Lourdes Senior Community",MI,none,"February 25, 2020 @ 10:57 am by Mandy.Lytle"
"Martha T Berry MCF",MI,none,"February 25, 2020 @ 10:56 am by Mandy.Lytle"
"Oakview Medical Care Facility",MI,none,"February 25, 2020 @ 10:56 am by Mandy.Lytle"
"Ingham County Medical Care Facility",MI,none,"February 25, 2020 @ 10:55 am by Mandy.Lytle"
"EHM Senior Solutions",MI,none,"February 25, 2020 @ 10:54 am by Mandy.Lytle"
"Kalkaska Memorial Health Center",MI,none,"February 25, 2020 @ 10:53 am by Mandy.Lytle"
"Resthaven Care Center",MI,none,"February 25, 2020 @ 10:52 am by Mandy.Lytle"
"The Gilbert Residence",MI,none,"February 25, 2020 @ 10:52 am by Mandy.Lytle"
"Clark Retirement Community",MI,none,"February 25, 2020 @ 10:51 am by Mandy.Lytle"
"Vista Grande Villa",MI,none,"February 25, 2020 @ 10:51 am by Mandy.Lytle"
"Crawford Continuing Care",MI,none,"February 25, 2020 @ 10:50 am by Mandy.Lytle"
"Scheurer Hospital LTC",MI,none,"February 25, 2020 @ 10:49 am by Mandy.Lytle"
"Thurston Woods Village",MI,none,"February 25, 2020 @ 10:49 am by Mandy.Lytle"
"Friendship Village of Kalamazoo",MI,none,"February 25, 2020 @ 10:47 am by Mandy.Lytle"
"Fleischman Residence",MI,none,"February 25, 2020 @ 10:46 am by Mandy.Lytle"
"United Methodist Retirement Communities, Inc.",MI,none,"February 25, 2020 @ 10:36 am by Mandy.Lytle"
"Edison Christian Life Services",MI,none,"February 25, 2020 @ 9:39 am by Mandy.Lytle"
"Wellspring Lutheran Services",MI,none,"February 25, 2020 @ 9:39 am by Mandy.Lytle"
"Pine Ridge: A Rehabilitation &amp; Nursing Center",MI,none,"February 25, 2020 @ 8:25 am by Mandy.Lytle"
"Silsbee Oaks Health Care, L.L.P",TX,none,"February 25, 2020 @ 8:14 am by Mandy.Lytle"
"Magnolia Place Health Care, L.L.P.",TX,none,"February 25, 2020 @ 8:13 am by Mandy.Lytle"
"Pine Ridge Health Care, L.L.P.",TX,none,"February 24, 2020 @ 4:55 pm by Mandy.Lytle"
"Eagle Crest Health Care, L.L.P",TX,none,"February 24, 2020 @ 4:55 pm by Mandy.Lytle"
"Cornerstone Gardens Health Care, LLP",TX,none,"February 24, 2020 @ 4:54 pm by Mandy.Lytle"
"Azle Manor Health Care, L.L.P.",TX,none,"February 24, 2020 @ 4:51 pm by Mandy.Lytle"
"Oak Management Service, LLC",TX,none,"February 24, 2020 @ 4:50 pm by Mandy.Lytle"
"Presbyterian Villages of Michigan",MI,none,"February 24, 2020 @ 4:44 pm by Mandy.Lytle"
"Otsego Memorial Hospital/McReynolds Hall",MI,none,"February 24, 2020 @ 4:41 pm by Mandy.Lytle"
"St. Ann's Home",MI,none,"February 24, 2020 @ 4:13 pm by Mandy.Lytle"
"Samaritas Senior Living Corporate",MI,none,"February 24, 2020 @ 4:13 pm by Mandy.Lytle"
"Heritage Community of Kalamazoo",MI,none,"February 24, 2020 @ 4:12 pm by Mandy.Lytle"
"Masonic Pathways",MI,none,"February 24, 2020 @ 4:11 pm by Mandy.Lytle"
"Warwick Living Center",MI,none,"February 24, 2020 @ 4:11 pm by Mandy.Lytle"
"Church of Christ Care Center",MI,none,"February 24, 2020 @ 4:02 pm by Mandy.Lytle"
"Holland Home Brenton Rehab Living Center",MI,none,"February 24, 2020 @ 4:00 pm by Mandy.Lytle"
"Woodhaven Retirement Community",MI,none,"February 24, 2020 @ 3:13 pm by Mandy.Lytle"
"Stones River Manor, Inc.",TN,none,"February 24, 2020 @ 1:34 pm by Mandy.Lytle"
"Westbury Medical Care and Rehabilitation of Jackson",GA,none,"February 24, 2020 @ 8:43 am by Mandy.Lytle"
"Wellspring Lutheran Services of Monroe",MI,none,"February 21, 2020 @ 4:09 pm by Mandy.Lytle"
"Livonia Woods Nursing and Rehabilitation",MI,none,"February 21, 2020 @ 4:07 pm by Mandy.Lytle"
"Wellspring Lutheran Services of Frankenmuth",MI,none,"February 21, 2020 @ 4:06 pm by Mandy.Lytle"
"Wellspring Lutheran Services Fairview",MI,none,"February 21, 2020 @ 4:04 pm by Mandy.Lytle"
"Regency Retirement Village of Huntsville",AL,none,"February 21, 2020 @ 11:31 am by Mandy.Lytle"
"TLC Nursing Center",AL,none,"February 21, 2020 @ 9:59 am by Mandy.Lytle"
"Meadowview Nursing Center",AL,none,"February 21, 2020 @ 9:58 am by Mandy.Lytle"
"Altoona Health &amp; Rehab",AL,none,"February 21, 2020 @ 9:58 am by Mandy.Lytle"
"Cloverdale Rehabilitation and Nursing Center",AL,none,"February 21, 2020 @ 9:57 am by Mandy.Lytle"
"West Gate Village",AL,none,"February 20, 2020 @ 2:28 pm by Mandy.Lytle"
"The Huie Group",AL,none,"February 20, 2020 @ 2:26 pm by Mandy.Lytle"
"Parkwood Health Care",AL,none,"February 20, 2020 @ 2:25 pm by Mandy.Lytle"
"Madison Manor",AL,none,"February 20, 2020 @ 2:25 pm by Mandy.Lytle"
"Arkanas State Veteran's Home",AR,none,"February 20, 2020 @ 2:25 pm by Mandy.Lytle"
"Jackson Health Care",AL,none,"February 20, 2020 @ 2:24 pm by Mandy.Lytle"
"Evergreen Nursing and Rehabilitation",AL,none,"February 20, 2020 @ 2:24 pm by Mandy.Lytle"
"Englewood Health Care Center",AL,none,"February 20, 2020 @ 2:24 pm by Mandy.Lytle"
"Crowne Healthcare of Greenville",AL,none,"February 20, 2020 @ 2:23 pm by Mandy.Lytle"
"Crowne Health of Montgomery",AL,none,"February 20, 2020 @ 2:23 pm by Mandy.Lytle"
"Crowne Health Care of Springhill",AL,none,"February 20, 2020 @ 1:33 pm by Mandy.Lytle"
"Crowne Health Care of Mobile",AL,none,"February 20, 2020 @ 12:37 pm by Mandy.Lytle"
"Crowne Health Care of Fort Payne",AL,none,"February 20, 2020 @ 12:33 pm by Mandy.Lytle"
"Crowne Health Care of Citronelle",AL,none,"February 20, 2020 @ 12:33 pm by Mandy.Lytle"
"Crowne Eufaula",AL,none,"February 20, 2020 @ 12:32 pm by Mandy.Lytle"
"Crowne Assisted Living Facilities",AL,none,"February 20, 2020 @ 12:32 pm by Mandy.Lytle"
"Brown Nursing Home",AL,none,"February 20, 2020 @ 12:31 pm by Mandy.Lytle"
"Atmore Nursing Center",AL,none,"February 20, 2020 @ 12:30 pm by Mandy.Lytle"
"Crowne Healthcare",AL,none,"February 20, 2020 @ 12:30 pm by Mandy.Lytle"
"Ball Health Care",AL,none,"February 20, 2020 @ 12:30 pm by Mandy.Lytle"
"Akron Care Center, Inc.",IA,none,"February 20, 2020 @ 12:29 pm by Mandy.Lytle"
"AJ Gallagher",AL,none,"February 20, 2020 @ 11:49 am by Mandy.Lytle"
"Brandermill Woods",VA,none,"February 20, 2020 @ 11:49 am by Mandy.Lytle"
"Advantage Living Centers",MI,none,"February 20, 2020 @ 11:45 am by Mandy.Lytle"
"Advanced Healthcare Solutions",TX,none,"February 20, 2020 @ 11:40 am by Mandy.Lytle"
"Pontotoc Health and Rehab",MS,none,"February 20, 2020 @ 11:04 am by Mandy.Lytle"
"Oxford Health and Rehab",MS,none,"February 20, 2020 @ 11:04 am by Mandy.Lytle"
"New Albany Health and Rehab",MS,none,"February 20, 2020 @ 11:04 am by Mandy.Lytle"
"Desoto Healthcare Center",MS,none,"February 20, 2020 @ 11:03 am by Mandy.Lytle"
"Carthage Health and Rehab Center",MS,none,"February 20, 2020 @ 11:03 am by Mandy.Lytle"
"Arrington Living Center",MS,none,"February 20, 2020 @ 11:02 am by Mandy.Lytle"
"Advanced Healthcare Management",MS,none,"February 20, 2020 @ 11:02 am by Mandy.Lytle"
"Westbury Health and Rehabilitation- McDonough",GA,none,"February 20, 2020 @ 11:01 am by Mandy.Lytle"
"Westbury Health and Rehabilitation Center- Conyers",GA,none,"February 20, 2020 @ 11:01 am by Mandy.Lytle"
