"Date Posted","Document ID",Author,"Document Title",Categories,"File URL","Last Modified"
08/28/2025,545483,Michele.mummert,"Preserving Patient Access to Long-Term Care Pharmacies Act","Regulatory Agencies, Congress",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Congress-HR-Bill-Preserving-Patient-Access-to-Long-Term-Care-Pharmacies-Act.pdf,"August 28, 2025 @ 9:47 am by Michele.mummert"
08/27/2025,545472,Michele.mummert,"Unichem Pharmaceuticals (USA) Inc. Issues Voluntary Nationwide Recall of Cyclobenzaprine Hydrochloride Tablets USP 10mg, Due to Mislabeling","Regulatory Agencies, FDA, Recalls and Notices",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Unichem-Recall-Cyclobenzaprine-Tablets.pdf,"August 27, 2025 @ 3:33 pm by Michele.mummert"
08/27/2025,42923,Mpurkaya,"Physical Resources Action Plan","Tools and Templates, Administrative, Facility Assessment, Addressing Facility Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Physical-Resources-Action-Plan.docx,"August 27, 2025 @ 1:22 pm by polly.smith"
08/27/2025,42934,Mpurkaya,"Physical Plant Needs: Resident Population Worksheet","Tools and Templates, Administrative, Facility Assessment, Addressing Resident Population",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Physical-Plant-Needs-Resident-Population-Worksheet.docx,"August 27, 2025 @ 1:30 pm by polly.smith"
08/27/2025,37431,Mpurkaya,"Personal Visitors &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Personal-Visitors-Policy.docx,"August 27, 2025 @ 11:37 am by polly.smith"
08/27/2025,32033,Mstypinski,"Services Provided: Resource Worksheet","Tools and Templates, Administrative, Facility Assessment, Addressing Facility Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Services-Provided-Resource-Worksheet.docx,"August 27, 2025 @ 1:24 pm by polly.smith"
08/27/2025,32032,Mstypinski,"Personnel: Credentials and Competencies Staffing Worksheet","Tools and Templates, Administrative, Facility Assessment, Staffing Tools",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Personnel-Credentials-and-Competencies-Staffing-Worksheet.docx,"August 27, 2025 @ 1:39 pm by polly.smith"
08/27/2025,449724,Polly.smith,"Professionalism – Customer Service &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Professionalism-Customer-Service-Policy.docx,"August 27, 2025 @ 11:40 am by polly.smith"
08/27/2025,32031,Mstypinski,"Health Information Technology: Resource Worksheet","Tools and Templates, Administrative, Facility Assessment, Addressing Facility Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Health-Information-Technology-Resource-Worksheet.docx,"August 27, 2025 @ 1:22 pm by polly.smith"
08/27/2025,36612,Mpurkaya,"Illegal Drug Use Policy &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Illegal-Drug-Use-Policy.docx,"August 27, 2025 @ 11:22 am by polly.smith"
08/27/2025,32030,Mstypinski,"Facility Equipment Medical and Non-Medical: Resource Worksheet","Tools and Templates, Administrative, Facility Assessment, Addressing Facility Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Facility-Equipment-Medical-and-Non-Medical-Resource-Worksheet.docx,"August 27, 2025 @ 1:22 pm by polly.smith"
08/27/2025,37389,Mpurkaya,"Form I-9 &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Form-I-9-Policy.docx,"August 27, 2025 @ 11:22 am by polly.smith"
08/27/2025,37371,Mpurkaya,"Employee Smoking &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Employee-Smoking-Policy.docx,"August 27, 2025 @ 11:14 am by polly.smith"
08/27/2025,37377,Mpurkaya,"Employment of Minors &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Employment-of-Minors-Policy.docx,"August 27, 2025 @ 11:15 am by polly.smith"
08/27/2025,32029,Mstypinski,"Contracts, Agreements, and Memorandums of Understanding for Normal and Emergency Operation: Resource Worksheet","Tools and Templates, Administrative, Facility Assessment, Addressing Facility Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Contracts-Agreements-MoU-for-Normal-and-Emergency-Operation-Resource-Worksheet.docx,"August 27, 2025 @ 1:19 pm by polly.smith"
08/27/2025,37482,Mpurkaya,"Wage Garnishments &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Wage-Garnishments-Policy.docx,"August 27, 2025 @ 11:59 am by polly.smith"
08/27/2025,32028,Mstypinski,"Building/Structures and Vehicles: Resource Worksheet","Tools and Templates, Administrative, Facility Assessment, Addressing Facility Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Building-Structures-and-Vehicles-Resource-Worksheet.docx,"August 27, 2025 @ 1:19 pm by polly.smith"
08/27/2025,37399,Mpurkaya,"Information Access Management &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Information-Access-Management-Policy.docx,"August 27, 2025 @ 11:25 am by polly.smith"
08/27/2025,37329,Mpurkaya,"Access to OSHA Injury and Illness Records &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Access-to-OSHA-Injury-and-Illness-Records-Policy.docx,"August 27, 2025 @ 10:39 am by polly.smith"
08/27/2025,520052,Polly.smith,"Religious Accommodation &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Religious-Accomodation-Policy.docx,"August 27, 2025 @ 11:45 am by polly.smith"
08/27/2025,37467,Mpurkaya,"Threatening or Violent Behavior in the Workplace &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Threatening-or-Violent-Behavior-in-the-Workplace-Policy.docx,"September 2, 2025 @ 2:37 pm by polly.smith"
08/27/2025,37394,Mpurkaya,"Identification Badges &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Identification-Badges-Policy.docx,"August 27, 2025 @ 11:22 am by polly.smith"
08/27/2025,37443,Mpurkaya,"Reporting Fatality, Injury, and Illness Information to OSHA &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Reporting-Fatality-Injury-and-Illness-Information-to-OSHA-Policy.docx,"August 27, 2025 @ 11:45 am by polly.smith"
08/27/2025,37437,Mpurkaya,"Professional Development &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Professional-Development-Policy.docx,"August 27, 2025 @ 11:40 am by polly.smith"
08/27/2025,523590,Polly.smith,"Company Credit Card Use &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Company-Credit-Card-Use-Policy.docx,"August 27, 2025 @ 10:50 am by polly.smith"
08/27/2025,37365,Mpurkaya,"Discrimination &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",,"August 27, 2025 @ 10:57 am by polly.smith"
08/27/2025,36856,Mpurkaya,"Medical Staff Credentialing and Privileging &#8211; HR Policy","Tools and Templates, Administrative, Compliance and Ethics, Policies and Procedures, Human Resources, Policies and Procedures, Policies and Procedures, Compliance and Ethics, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Medical-Staff-Credentialing-and-Privileging-Policy.docx,"August 27, 2025 @ 11:29 am by polly.smith"
08/27/2025,42912,Mpurkaya,"Light Duty &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Light-Duty-Policy.docx,"August 27, 2025 @ 11:26 am by polly.smith"
08/27/2025,42929,Mpurkaya,"Supply Chain Resource Worksheet","Tools and Templates, Administrative, Facility Assessment, Addressing Facility Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Supply-Chain-Resource-Worksheet.docx,"August 27, 2025 @ 1:24 pm by polly.smith"
08/27/2025,40928,Mpurkaya,"Company Issued Cell Phone &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Company-Issued-Cell-Phone-Policy.docx,"August 27, 2025 @ 10:50 am by polly.smith"
08/27/2025,37452,Mpurkaya,"Resident Photographs &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Resident-Photographs-Policy.docx,"August 27, 2025 @ 11:50 am by polly.smith"
08/27/2025,37349,Mpurkaya,"Company Vehicles &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Company-Vehicles-Policy.docx,"August 27, 2025 @ 10:50 am by polly.smith"
08/27/2025,37355,Mpurkaya,"Conduct and Behavior &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Conduct-and-Behavior-Policy.docx,"August 27, 2025 @ 10:53 am by polly.smith"
08/27/2025,37461,Mpurkaya,"Solicitation &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Solicitation-Policy.docx,"August 27, 2025 @ 11:53 am by polly.smith"
08/27/2025,37455,Mpurkaya,"Retention of Training Records &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Retention-of-Training-Records-Policy.docx,"August 27, 2025 @ 11:50 am by polly.smith"
08/27/2025,37473,Mpurkaya,"Time Off for Voting &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Time-Off-for-Voting-Policy.docx,"August 27, 2025 @ 11:57 am by polly.smith"
08/27/2025,37358,Mpurkaya,"Continuing Education &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Continuing-Education-Policy.docx,"August 27, 2025 @ 10:53 am by polly.smith"
08/27/2025,37380,Mpurkaya,"Evaluation Process &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Evaluation-Process-Policy.docx,"August 27, 2025 @ 11:19 am by polly.smith"
08/27/2025,37335,Mpurkaya,"Background Investigations &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Background-Investigations-Policy.docx,"August 27, 2025 @ 10:46 am by polly.smith"
08/27/2025,461907,Polly.smith,"Facility Assessment Data Collection Sources","Tools and Templates, Administrative, Facility Assessment, Addressing Facility Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Facility-Assessment-Data-Collection-Sources.pdf,"August 27, 2025 @ 1:19 pm by polly.smith"
08/27/2025,37428,Mpurkaya,"Personal Cell Phones &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Personal-Cell-Phones-Policy.docx,"August 27, 2025 @ 11:37 am by polly.smith"
08/27/2025,37341,Mpurkaya,"Communicable and Contagious Diseases &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Communicable-and-Contagious-Diseases-Policy.docx,"August 27, 2025 @ 10:47 am by polly.smith"
08/27/2025,37362,Mpurkaya,"Disciplinary Action &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Disciplinary-Action-Policy.docx,"August 27, 2025 @ 11:10 am by polly.smith"
08/27/2025,37402,Mpurkaya,"License Verification &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/License-Verification-Policy.docx,"August 27, 2025 @ 11:25 am by polly.smith"
08/27/2025,37410,Mpurkaya,"Medical Examination &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Medical-Examination-Policy.docx,"August 27, 2025 @ 11:29 am by polly.smith"
08/27/2025,34686,Lee-Ann.Arner,"Clinical Characteristics: Resident Population Worksheet","Tools and Templates, Administrative, Facility Assessment, Addressing Resident Population",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Clinical-Characteristics-Resident-Population-Worksheet.docx,"August 27, 2025 @ 1:28 pm by polly.smith"
08/27/2025,32039,Mstypinski,"Type of Care Provided: Resident Population Worksheet","Tools and Templates, Administrative, Facility Assessment, Addressing Resident Population",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Type-of-Care-Provided-Resident-Population-Worksheet.docx,"August 27, 2025 @ 1:31 pm by polly.smith"
08/27/2025,37374,Mpurkaya,"Employment Application &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Employment-Application-Policy.docx,"August 27, 2025 @ 11:14 am by polly.smith"
08/27/2025,32038,Mstypinski,"Staff Competencies Necessary for Care: Resident Population Worksheet","Tools and Templates, Administrative, Facility Assessment, Addressing Resident Population",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Staff-Competencies-Necessary-for-Care-Resident-Population-Worksheet.docx,"August 27, 2025 @ 1:31 pm by polly.smith"
08/27/2025,42937,Mpurkaya,"Community Risks Action Plan","Tools and Templates, Administrative, Facility Assessment, Community Based Risk Assessment",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Community-Risks-Action-Plan.docx,"August 27, 2025 @ 1:35 pm by polly.smith"
08/27/2025,32037,Mstypinski,"Facility Capacity and Average Census: Resident Population Worksheet","Tools and Templates, Administrative, Facility Assessment, Addressing Resident Population",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Facility-Capacity-and-Average-Census-Resident-Population-Worksheet.docx,"August 27, 2025 @ 1:28 pm by polly.smith"
08/27/2025,37420,Mpurkaya,"Outside Employment &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Outside-Employment-Policy.docx,"August 27, 2025 @ 11:33 am by polly.smith"
08/27/2025,37479,Mpurkaya,"Victim&#8217;s Leave &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Victims-Leave-Policy.docx,"August 27, 2025 @ 11:59 am by polly.smith"
08/27/2025,37386,Mpurkaya,"Family and Medical Leave (FMLA) &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Family-and-Medical-Leave-FMLA-Policy.docx,"August 27, 2025 @ 11:20 am by polly.smith"
08/27/2025,37434,Mpurkaya,"PRN Employees &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/PRN-Employees-Policy.docx,"August 27, 2025 @ 11:37 am by polly.smith"
08/27/2025,32034,Mstypinski,"Ethnic, Cultural, and Religious Factors: Resident Population Worksheet","Tools and Templates, Administrative, Facility Assessment, Addressing Resident Population",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Ethnic-Cultural-Religious-Factors-Resident-Population-Worksheet.docx,"August 27, 2025 @ 1:28 pm by polly.smith"
08/27/2025,37458,Mpurkaya,"Social Security Numbers &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Social-Security-Numbers-Policy.docx,"August 27, 2025 @ 11:52 am by polly.smith"
08/27/2025,36851,Mpurkaya,"Licensed Nurse Credentialing and License Verification &#8211; HR Policy","Tools and Templates, Administrative, Compliance and Ethics, Policies and Procedures, Human Resources, Policies and Procedures, Policies and Procedures, Compliance and Ethics, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Licensed-Nurse-Credentialing-and-License-Verification-Policy.docx,"August 27, 2025 @ 11:25 am by polly.smith"
08/27/2025,32041,Mstypinski,"Community Based Risk Assessment","Tools and Templates, Administrative, Facility Assessment, Community Based Risk Assessment",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Community-Based-Risk-Assessment.docx,"August 27, 2025 @ 1:35 pm by polly.smith"
08/27/2025,37326,Mpurkaya,"Absenteeism &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Absenteeism-Policy.docx,"August 27, 2025 @ 10:39 am by polly.smith"
08/27/2025,37485,Mpurkaya,"Workplace Contraband &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Workplace-Contraband-Policy.docx,"August 27, 2025 @ 11:59 am by polly.smith"
08/27/2025,37338,Mpurkaya,"Changes in Personal Data &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Changes-in-Personal-Data-Policy.docx,"August 27, 2025 @ 10:46 am by polly.smith"
08/27/2025,514089,Michele.mummert,"Exempt Registered Nurse Staff &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Exempt-Registered-Nurse-Staff-Policy.docx,"August 27, 2025 @ 11:19 am by polly.smith"
08/27/2025,37332,Mpurkaya,"Attendance and Punctuality &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Attendance-and-Punctuality-Policy.docx,"August 27, 2025 @ 10:39 am by polly.smith"
08/27/2025,444744,Polly.smith,"Overtime Pay &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Overtime-Pay-Policy.docx,"August 27, 2025 @ 11:33 am by polly.smith"
08/27/2025,444695,Polly.smith,"Governing Board: Facility Assessment Review","Tools and Templates, Administrative, Facility Assessment, Compliance Solutions",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Governing-Board-Facility-Assessment-Review.docx,"August 27, 2025 @ 1:37 pm by polly.smith"
08/27/2025,37449,Mpurkaya,"Required Training, Certification and Continuing Education of Nurse Aides &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Required-Training-Certification-and-CE-of-Nurse-Aides-Policy.docx,"August 27, 2025 @ 11:50 am by polly.smith"
08/27/2025,37368,Mpurkaya,"Driver Requirements &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Driver-Requirements-Policy.docx,"August 27, 2025 @ 11:10 am by polly.smith"
08/27/2025,37470,Mpurkaya,"Time Clock &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Time-Clock-Policy.docx,"August 27, 2025 @ 11:56 am by polly.smith"
08/27/2025,37464,Mpurkaya,"Termination of Employment &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Termination-of-Employment-Policy.docx,"August 27, 2025 @ 11:53 am by polly.smith"
08/27/2025,37440,Mpurkaya,"Release of Employee Information &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Release-of-Employee-Information-Policy.docx,"August 27, 2025 @ 11:40 am by polly.smith"
08/27/2025,37425,Mpurkaya,"Payroll Direct Deposit &#8211; HR Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Payroll-Direct-Deposit-Policy.docx,"August 27, 2025 @ 11:33 am by polly.smith"
08/27/2025,37352,Mpurkaya,"Competency Evaluation Policy","Tools and Templates, Human Resources, Policies and Procedures, Policies and Procedures, Human Resources",https://secure.thecompliancestore.net/wp-content/uploads/documents/2025/08/Competency-Evaluation-Policy.docx,"August 27, 2025 @ 10:52 am by polly.smith"
