"Document Last Modified","Document ID","Document Title",Categories,"File URL"
"October 29, 2020 @ 1:02 pm by polly.smith",27984,"F-578: Inconsistent Communication of Code Status (Plan of Correction Packet)","Government Initiatives, MEGA Rule, Phase 1, Plan of Correction Packets, Tools and Templates, Survey Management, Plan of Correction Packets",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2020/10/F578-Inconsistent-Communication-of-Code-Status-POC.doc
"October 29, 2020 @ 1:00 pm by polly.smith",27978,"F-558: Call Light Not Within Reach (Plan of Correction Packet)","Government Initiatives, MEGA Rule, Phase 1, Plan of Correction Packets, Tools and Templates, Survey Management, Plan of Correction Packets",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2020/10/F-558-Call-Light-Not-Within-Reach-POC.doc
"October 29, 2020 @ 12:48 pm by polly.smith",457181,"Physician Notification Report","Tools and Templates, Nursing, Supplemental Tools",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2020/10/Physician-Notification-Report.doc
"October 29, 2020 @ 12:46 pm by polly.smith",39924,"Notification of Changes Policy and Policy Review Test","Assisted Living, Tools and Templates, Staff Development, Effective Communication, Tools and Templates, Staff Development, Effective Communication",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2020/03/Notification-of-Changes-Policy-Review-Test.docx
"October 29, 2020 @ 12:44 pm by polly.smith",38568,"Notification of Changes Policy","Assisted Living, Tools and Templates, Policies and Procedures, Nursing, Nursing Processes, Government Initiatives, MEGA Rule, Phase 1, Policies and Procedures, Nursing, Nursing Processes, Tools and Templates, Policies and Procedures, Nursing, Nursing Processes",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2020/01/Notification-of-Changes-Policy.doc
"October 29, 2020 @ 11:56 am by Michele.mummert",457173,"SNF Value Based Purchasing Program FY 2021 Incentive Payment Multiplier Calculation","Financial, SNF Value-Based Purchasing Program",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2020/10/SNF-VBP-FY-2021-Incentive-Payment-Multiplier-Calculation.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27526,"HIPAA Enforcement Rule: HITECH, Interim Final Rule (October 30, 2009)","Assisted Living, Regulations, HIPAA, *Regulations, Regulatory Agencies, HIPAA, *Regulations",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2015/02/Administrative-Simplification-Enforcement-HITECH-Act-Interim-Final-Rule.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27527,"Administrative Simplification Compliance Act (HR 3323 - January 3, 2001)","Assisted Living, Regulations, HIPAA, *Regulations, Regulatory Agencies, HIPAA, *Regulations",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2013/06/ASCA-Law.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27528,"HIPAA Breach Notification Rule: Guidance and Request for Information (April 27, 2009)","Assisted Living, Regulations, HIPAA, *Regulations, Regulatory Agencies, HIPAA, *Regulations",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2013/01/Breach-Notification-Guidance-April-2009.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27529,"Disclosures for Public Health Activities HIPAA Privacy Rule: 45 CFR 164.512(b)","Assisted Living, Regulations, HIPAA, *Regulations, Regulatory Agencies, HIPAA, *Regulations",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2012/07/Disclosures-for-Public-Health-Activities.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27530,"Health Insurance Portability and Accountability Act (HIPAA) of 1996: Public Law 104-191","Assisted Living, Regulations, HIPAA, *Regulations, Regulatory Agencies, HIPAA, *Regulations",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2012/02/HIPAA-Act-of-1996-Public-Law-104-191.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27532,"HIPAA Administrative Simplification: Regulatory Text (Amended 3-26-2013)","Assisted Living, Regulations, HIPAA, *Regulations, Regulatory Agencies, HIPAA, *Regulations",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2013/06/HIPAA-Administrative-Simplification-Regulatory-Text.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27533,"HIPAA Administrative Simplification: Standard Unique Health Identifier, Part 162 - Final Rule (January 23, 2004)","Assisted Living, Regulations, HIPAA, *Regulations, Regulatory Agencies, HIPAA, *Regulations",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2013/06/HIPAA-Administrative-Simplification-Standard-Unique-Health-Identifier-Final-Rule.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27539,"HIPAA Breach Notification Rule: Interim Final Rule (August 24, 2009)","Assisted Living, Regulations, HIPAA, *Regulations, Regulatory Agencies, HIPAA, *Regulations",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2013/01/Interim-Final-Rule-Breach-Notification-for-Unsecured-PHI.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27540,"Minimum Necessary Standard for HIPAA Privacy Rule: 45 CFR 164.502(b), 164.514(d)","Assisted Living, Regulations, HIPAA, *Regulations, Regulatory Agencies, HIPAA, *Regulations",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2012/07/Minimum-Necessary-Standard-HIPAA-Privacy-Rule.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27544,"Standards for Information Transactions and Data Elements","Assisted Living, Regulations, HIPAA, *Regulations, Regulatory Agencies, HIPAA, *Regulations",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2012/07/Standards-for-Information-Transactions-and-Data-Elements.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27546,"HIPAA HITECH: Public Law 111-5, as part of the American Recovery and Reinvestment Act (February 17, 2009)","Assisted Living, Regulations, HIPAA, *Regulations, Regulatory Agencies, HIPAA, *Regulations",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2013/04/Title-XIII-Health-Information-Technology-HITECH-Act.pdf
"October 29, 2020 @ 10:46 am by Kathy.Burrows",27642,"HIPAA; Peer-to-Peer File Sharing: A Guide for Business","Assisted Living, Regulations, HIPAA, Security Rule, Regulatory Agencies, HIPAA, Security Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2015/01/HIPAA-Peer-to-Peer-File-Sharing-A-Guide-for-Business.pdf
"October 29, 2020 @ 10:46 am by Kathy.Burrows",27659,"Cyber-Awareness Topics: Ransomware, Tech Support Scam, Better Business Bureau Scam Tracker","Assisted Living, Regulations, HIPAA, Security Rule, Regulatory Agencies, HIPAA, Security Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/02/OCR-Scam-alerts.pdf
"October 29, 2020 @ 10:46 am by Kathy.Burrows",27663,"Securing Electronic Health Records on Mobile Devices - Draft","Assisted Living, Regulations, HIPAA, Security Rule, Regulatory Agencies, HIPAA, Security Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2015/08/Securing-EHRs-on-Mobile-Devices-NIST-draft.pdf
"October 29, 2020 @ 10:46 am by Mandy.Lytle",24100,"HIPAA Privacy Rule and the National Instant Criminal Background Check System (NICS)","Assisted Living, Regulations, HIPAA, *Regulations, Regulatory Agencies, HIPAA, *Regulations, Survey and Certification, Federal Register, 2016 Federal Register",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2018/09/2015-HIPAA-and-NICS.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27531,"HIPAA Administrative Simplification: Modifications to HIPAA Rules Under the HITECH Act, Part 160 and 164 - Final Rule (January 25, 2013)","Assisted Living, Regulations, HIPAA, *Regulations, Regulatory Agencies, HIPAA, *Regulations",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2015/03/HIPAA-Admin-Simplification-part-160-and-164-Final-Rule-Jan-2013.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27534,"HIPAA Enforcement Rule: Final Rule (February 16, 2006)","Assisted Living, Regulations, HIPAA, *Regulations, Regulatory Agencies, HIPAA, *Regulations",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2015/02/HIPAA-Enforcement-Rule-Final-Rule-February-2006.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27535,"HIPAA Enforcement Rule: Proposed Rule (April 18, 2005)","Assisted Living, Regulations, HIPAA, *Regulations, Regulatory Agencies, HIPAA, *Regulations",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2015/02/HIPAA-Enforcement-Rule-Proposed-Rule-April-2005.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27536,"HIPAA Privacy Rule: Standards for Privacy of Individually Identifiable Health Information: Final Rule (August 14, 2002)","Assisted Living, Regulations, HIPAA, *Regulations, Regulatory Agencies, HIPAA, *Regulations",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2015/02/HIPAA-Privacy-Rule-Final-Rule-August-2002.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27537,"HIPAA Privacy Rule: Standards for Privacy of Individually Identifiable Health Information: Final Rule (December 28, 2000)","Assisted Living, Regulations, HIPAA, *Regulations, Regulatory Agencies, HIPAA, *Regulations",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2015/02/HIPAA-Privacy-Rule-Final-Rule-December-2000.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27541,"HIPAA Enforcement Rule: Procedures for Investigations, Imposition of Penalties, and Hearings: Interim Final Rule (April 17, 2003)","Assisted Living, Regulations, HIPAA, *Regulations, Regulatory Agencies, HIPAA, *Regulations",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2015/02/Procedures-for-Investigations-Impositions-of-Penalties-and-Hearings-Interim-Final-Rule-April-2003.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27542,"HIPAA Security Rule: Security and Electronic Signature Standards: Proposed Rule (August 12, 1998)","Assisted Living, Regulations, HIPAA, *Regulations, Regulatory Agencies, HIPAA, *Regulations",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2015/02/Security-and-Electronic-Signature-Standards-Proposed-Rule-August-1998.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27543,"HIPAA Security Rule: Health Insurance Reform, Security Standards: Final Rule (February 20, 2003)","Assisted Living, Regulations, HIPAA, *Regulations, Regulatory Agencies, HIPAA, *Regulations",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2015/02/Security-Standards-Final-Rule-February-2003.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27570,"At A Glance: Disclosure for Public Health Emergency Preparedness Purposes","Assisted Living, Regulations, HIPAA, Privacy Rule, Regulatory Agencies, HIPAA, Privacy Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2015/04/At-A-Glance-Emergency-Prep-Disclosure.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27573,"Frequently Asked Questions About the Disposal of Protected Health Information","Assisted Living, Regulations, HIPAA, Privacy Rule, Regulatory Agencies, HIPAA, Privacy Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2015/04/Disposal-of-Protected-Health-Information.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27591,"The HIPAA Privacy Rule's Right of Access","Assisted Living, Regulations, HIPAA, Privacy Rule, Regulatory Agencies, HIPAA, Privacy Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/01/Individuals-Right-to-Access.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27600,"HIPAA Modified to Strengthen the Firearm Background Check System","Assisted Living, Regulations, HIPAA, Privacy Rule, Regulatory Agencies, HIPAA, Privacy Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/01/Privacy-and-NICS-Pub-Inspection-Doc.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27601,"HIPAA Privacy and Security and Workplace Wellness Programs","Assisted Living, Regulations, HIPAA, Privacy Rule, Regulatory Agencies, HIPAA, Privacy Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2015/04/Privacy-and-Security-Workplace-Wellness-Programs.pdf
"October 29, 2020 @ 10:46 am by Kathy.Burrows",27628,"Protect Your Workplace: Cybersecurity Guidance (Poster)","Assisted Living, Regulations, HIPAA, Security Rule, Regulatory Agencies, HIPAA, Security Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2015/10/Cybersecurity-Guidance-Poster.pdf
"October 29, 2020 @ 10:46 am by Kathy.Burrows",27641,"Guide to Privacy and Security of Electronic Health Information","Assisted Living, Regulations, HIPAA, Security Rule, Regulatory Agencies, HIPAA, Security Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2015/04/Guide-to-Privacy-and-Security-of-Electronic-Health-Information.pdf
"October 29, 2020 @ 10:46 am by Kathy.Burrows",27646,"Information Security: Guide for Conducting Risk Assessments","Assisted Living, Regulations, HIPAA, Security Rule, Regulatory Agencies, HIPAA, Security Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2015/05/Information-Security-Guide-for-Conducting-Risk-Assessments.pdf
"October 29, 2020 @ 10:46 am by Kathy.Burrows",27648,"Cyber-Awareness Topic: Responding to a Cyber Security Incident","Assisted Living, Regulations, HIPAA, Security Rule, Regulatory Agencies, HIPAA, Security Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/07/July-2016-Cybersecurity-Newsletter.pdf
"October 29, 2020 @ 10:46 am by Kathy.Burrows",27655,"HIPAA Security Rule Crosswalk to NIST Cybersecurity Framework","Assisted Living, Regulations, HIPAA, Security Rule, Regulatory Agencies, HIPAA, Security Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/02/NIST-CSF-to-HIPAA-Security-Rule-Crosswalk.pdf
"October 29, 2020 @ 10:46 am by Kathy.Burrows",27660,"What's in Your Third-Party Application Software?","Assisted Living, Regulations, HIPAA, Security Rule, Regulatory Agencies, HIPAA, Security Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/06/OCR-Third-Party-Application-Software.pdf
"October 29, 2020 @ 10:46 am by Mandy.Lytle",36366,"Access to PHI by Members of the Media and Film Crews","Assisted Living, Regulations, HIPAA, Privacy Rule, Regulatory Agencies, HIPAA, Privacy Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2019/04/HIPAA-privacy-rule-and-the-media.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27551,"OCR HIPAA Audit Protocol","Assisted Living, Regulations, HIPAA, Administrative Simplification, Regulatory Agencies, HIPAA, Administrative Simplification",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/04/Audit-Protocol.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27569,"HIPAA Audit Pre-Screening Questionnaire","Assisted Living, Regulations, HIPAA, Administrative Simplification, Regulatory Agencies, HIPAA, Administrative Simplification",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/04/Pre-Screen-Questionnaire.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27572,"Clarification of Permissible Fees for HIPAA Right of Access","Assisted Living, Regulations, HIPAA, Privacy Rule, Regulatory Agencies, HIPAA, Privacy Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/05/Clarification-flat-Rate-Option-for-Copies-of-PHI.pdf
"October 29, 2020 @ 10:46 am by Mandy.Lytle",36280,"Business Associate Listing - Sample Template","Assisted Living, Regulations, HIPAA, Administrative Simplification, Regulatory Agencies, HIPAA, Administrative Simplification",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2019/04/Business-Associate-Listing-Template.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27590,"How HIPAA Applies to Certain Workplace Wellness Programs","Assisted Living, Regulations, HIPAA, Privacy Rule, Regulatory Agencies, HIPAA, Privacy Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/03/How-HIPAA-Applies-to-Certain-Workplace-Wellness-Programs.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27597,"Permitted Uses and Disclosures: Exchange for Health Care Operations","Assisted Living, Regulations, HIPAA, Privacy Rule, Regulatory Agencies, HIPAA, Privacy Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/02/Permissable-use-exchange-health-care-operations.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27598,"Permitted Uses and Disclosures: Exchange for Treatment","Assisted Living, Regulations, HIPAA, Privacy Rule, Regulatory Agencies, HIPAA, Privacy Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/02/Permitted-use-exchange-treatment.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27603,"Q&amp;A's About HIPAA's Access Right and Appropriate Fees for Copies","Assisted Living, Regulations, HIPAA, Privacy Rule, Regulatory Agencies, HIPAA, Privacy Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/05/QA-Access-Right-Appropriate-Copy-Fees.pdf
"October 29, 2020 @ 10:46 am by polly.smith",27604,"Questions and Answers About HIPAA's Access Right","Assisted Living, Regulations, HIPAA, Privacy Rule, Regulatory Agencies, HIPAA, Privacy Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/05/Questions-and-Answers-About-HIPAA-Access-Right.pdf
"October 29, 2020 @ 10:46 am by Kathy.Burrows",27617,"Cyber-Awareness Topic: Is Your Business Associate Prepared for a Security Incident?","Assisted Living, Regulations, HIPAA, Security Rule, Regulatory Agencies, HIPAA, Security Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/05/April-2016-Cyber-Awareness-Update.pdf
"October 29, 2020 @ 10:46 am by Kathy.Burrows",27626,"Cyber-Awareness Topics: Nation-State, Ransomware, and Smartphone Attacks","Assisted Living, Regulations, HIPAA, Security Rule, Regulatory Agencies, HIPAA, Security Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/03/Cyber-Threats-Healthcare-Sector.pdf
"October 29, 2020 @ 10:46 am by Kathy.Burrows",27627,"Cyber-Awareness Topics: Tips for Keeping PHI Safe, NSA Lessons, Malware and Medical Devices","Assisted Living, Regulations, HIPAA, Security Rule, Regulatory Agencies, HIPAA, Security Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/03/Cyber-Topics-breach-NSA-lessons-malware-medical-devices.pdf
"October 29, 2020 @ 10:45 am by Kathy.Burrows",27657,"Computer Security Incident Handling Guide","Assisted Living, Regulations, HIPAA, Security Rule, Regulatory Agencies, HIPAA, Security Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/07/NIST.SP_.800-61r2.pdf
"October 29, 2020 @ 10:45 am by Kathy.Burrows",27662,"Fact Sheet: Ransomware and HIPAA","Assisted Living, Regulations, HIPAA, Security Rule, Regulatory Agencies, HIPAA, Security Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/07/RansomwareFactSheet.pdf
"October 29, 2020 @ 10:45 am by polly.smith",27545,"Administrative Simplification: Timeline of Key Statutes and Regulations","Assisted Living, Regulations, HIPAA, *Regulations, Regulatory Agencies, HIPAA, *Regulations",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/07/Timeline-ACA-and-HIPAA-Regulations.pdf
"October 29, 2020 @ 10:45 am by polly.smith",27554,"Covered Entity Guidance","Assisted Living, Regulations, HIPAA, Administrative Simplification, Regulatory Agencies, HIPAA, Administrative Simplification",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/08/CoveredEntitiesChart20160617.pdf
"October 29, 2020 @ 10:45 am by polly.smith",27565,"HIPAA Compliance Audits: Phase 2 Informational Webinar","Assisted Living, Regulations, HIPAA, Administrative Simplification, Regulatory Agencies, HIPAA, Administrative Simplification",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/07/OCR-Desk-Audit-Webinar-with-QA.pdf
"October 29, 2020 @ 10:45 am by polly.smith",27566,"OCR Announces Initiative to More Widely Investigate Breaches Affecting Fewer than 500 Individuals","Assisted Living, Regulations, HIPAA, Administrative Simplification, Regulatory Agencies, HIPAA, Administrative Simplification",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/08/OCR-to-Investigate-Small-Breaches.pdf
"October 29, 2020 @ 10:45 am by polly.smith",27586,"Unique Device Identifier and HIPAA Privacy Rule","Assisted Living, Regulations, HIPAA, Privacy Rule, Regulatory Agencies, HIPAA, Privacy Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/07/HIPAA-Privacy-and-UDI.pdf
"October 29, 2020 @ 10:45 am by polly.smith",27592,"Questions Regarding Use of Interpreter and Telecommunications Relay Service","Assisted Living, Regulations, HIPAA, Privacy Rule, Regulatory Agencies, HIPAA, Privacy Rule",https://tcssecure.staging.wpengine.com/wp-content/uploads/documents/2016/09/Interpreter-Disclosure-QA.pdf
